G000316645	G007692755	79.26
G000372085	G002339505	79.61
G000317535	G007692755	79.85
G000212695	G001898175	79.95
G000718255	G001896795	79.99
G000739995	G001724135	79.99
G000717475	G002299865	80.00
G000015265	G002384855	80.04
G000020025	G007692755	80.07
G000469445	G900544615	80.08
G000219585	G008015635	80.11
G000317025	G012034135	80.11
G000218545	G001898175	80.12
G000350145	G013002175	80.13
G000384335	G003987855	80.17
G000934745	G011049455	80.19
G000425065	G001896795	80.21
G000725485	G001570385	80.24
G001429255	G001898175	80.25
G000013365	G004799405	80.30
G000341345	G002339505	80.30
G001235865	G001626545	80.34
G001295845	G004799405	80.34
G000015565	G002281795	80.36
G000735135	G009360455	80.36
G000314575	G003522405	80.38
G000348785	G013002175	80.41
G001428895	G001475495	80.44
G000317025	G012032735	80.51
G000429045	G007693435	80.54
G000747315	G002339505	80.54
G000708885	G001898175	80.56
G000176855	G002281795	80.58
G000344805	G004799405	80.58
G000157895	G000735795	80.59
G000284375	G004799405	80.59
G000632805	G001898415	80.60
G000204645	G001724135	80.62
G000739455	G002339505	80.62
G001422605	G900538725	80.62
G000472425	G004799405	80.65
G000519045	G002396545	80.67
G000340435	G000735795	80.68
G000468475	G001896795	80.68
G000020645	G005862225	80.71
G000278215	G000296235	80.71
G000786195	G003450595	80.71
G000012745	G012274165	80.72
G000092245	G002163065	80.73
G000938285	G004799405	80.73
G000092865	G001898175	80.75
G001183545	G003524365	80.77
G000687395	G902498835	80.79
G000619805	G002878035	80.80
G000716715	G007130245	80.81
G000011365	G004799405	80.84
G000021805	G003448685	80.85
G001021495	G000735795	80.86
G000381345	G002384255	80.88
G000013745	G004799405	80.89
G000718095	G000719825	80.90
G000938975	G000719825	80.92
G000736415	G001486905	80.96
G000735105	G009360455	80.98
G001424265	G002281795	80.98
G000020725	G003499925	80.99
G001049335	G002869945	81.00
G000092385	G000719825	81.01
G000739795	G000818655	81.02
G000938305	G004799405	81.02
G000022305	G001724135	81.04
G001298675	G002281795	81.04
G001051995	G007713545	81.05
G000018665	G002281795	81.06
G000721075	G001570385	81.10
G000718475	G001570385	81.13
G000482805	G002384255	81.14
G000312345	G002339505	81.15
G001182895	G902168095	81.17
G000466985	G002362815	81.18
G000741165	G008673975	81.18
G000021545	G002878035	81.19
G000332135	G001672095	81.20
G000626675	G002482225	81.22
G000576425	G003241005	81.23
G000620485	G001898415	81.23
G001027285	G006519765	81.24
G000697965	G000421085	81.25
G000735605	G003248805	81.25
G000684975	G000818655	81.26
G000800395	G003516665	81.26
G000012965	G002422695	81.27
G000253295	G003987855	81.27
G000312565	G000296235	81.27
G000286415	G001525555	81.30
G000718095	G001484705	81.30
G000011465	G902521125	81.31
G000264315	G902168095	81.31
G000332215	G003249035	81.33
G000019945	G000878385	81.34
G000695235	G000719825	81.34
G000756665	G002337725	81.34
G001424025	G002362815	81.35
G000015005	G001475495	81.36
G000383815	G009691185	81.37
G000759475	G900538725	81.37
G001440405	G004799405	81.37
G000717025	G001484705	81.38
G000022305	G002281795	81.39
G000023405	G003241005	81.39
G000246925	G900538605	81.39
G001417755	G001570385	81.40
G000011365	G003963195	81.41
G000314675	G003963195	81.42
G000739995	G002281795	81.42
G000147815	G001484705	81.44
G000153465	G011055635	81.45
G000300995	G002337725	81.45
G000497425	G000719825	81.45
G000336555	G003963195	81.48
G000802255	G000818655	81.48
G000938975	G001484705	81.48
G000718635	G001484705	81.49
G001040865	G001898175	81.49
G000332215	G003249015	81.50
G000367205	G001812935	81.50
G000381265	G002281795	81.51
G000763385	G003241845	81.53
G000144605	G002362815	81.54
G000720305	G000719825	81.54
G000321415	G007116035	81.56
G000759715	G003246255	81.57
G000159635	G002339505	81.58
G001426485	G002476985	81.58
G000233655	G003241005	81.59
G000024865	G001570385	81.61
G000785435	G000818655	81.62
G000278195	G000296235	81.64
G000577555	G002339505	81.64
G000017265	G004297125	81.65
G000306885	G902642035	81.66
G000511135	G001570385	81.66
G000296465	G900545845	81.67
G000720305	G001484705	81.67
G001426225	G003248805	81.67
G000092385	G001484705	81.70
G000717345	G000719825	81.70
G000708545	G000296235	81.71
G000010605	G000719825	81.72
G000225825	G003241005	81.72
G000720475	G001484705	81.72
G000230695	G902168095	81.73
G001411495	G000818655	81.74
G000226215	G002415925	81.75
G000741175	G008673975	81.75
G000717745	G001484705	81.76
G000261485	G000421085	81.77
G000278135	G000296235	81.77
G000310185	G007713545	81.77
G000312545	G000296235	81.79
G000784965	G900538725	81.80
G000876225	G007130245	81.81
G000720455	G001484705	81.82
G001182895	G001898415	81.82
G001402795	G003249015	81.82
G000011545	G000818655	81.83
G000720455	G000719825	81.83
G000196435	G000296235	81.84
G000312105	G002476985	81.84
G000689355	G000296235	81.84
G001278075	G000719825	81.84
G000335815	G002434125	81.86
G000827005	G000719825	81.86
G000300995	G003526905	81.88
G000309385	G003241845	81.88
G000959245	G000818655	81.89
G001189965	G009914615	81.90
G000227685	G007116035	81.92
