cladeID	nkmers	card	gsize	csize
N6990	41591	2	1	2
N6565	47684	3	3	3
N6143	64319	4	9	4
N5704	111948	5	18	5
N6142	61157	2	18	7
N5703	61190	3	19	8
N5283	172681	8	51	8
N5702	85587	2	51	10
N5282	93081	3	53	11
N4906	265097	11	166	11
N5280	113444	2	166	15
N5281	87749	2	166	13
N4905	201027	4	174	15
N4532	465545	15	324	15
N4169	511010	16	393	16
N3809	560220	17	457	17
N6141	76214	2	457	19
N5701	107321	3	459	20
N5279	107839	4	464	21
N4904	111152	5	476	22
N5278	75271	2	476	24
N4903	85132	3	478	25
N4531	194631	8	570	25
N4168	265856	9	634	26
N3808	326654	10	704	27
N3459	886662	27	816	27
N3108	958066	28	854	28
N4902	118171	2	854	30
N4530	168489	3	856	31
N4167	175868	4	861	32
N3807	237268	5	865	33
N3458	296042	6	872	34
N3107	347250	7	879	35
N2781	1305153	35	986	35
N2482	1341360	36	1024	36
N3457	72244	2	1024	38
N3105	82637	2	1026	41
N3106	106451	3	1026	39
N2780	187814	5	1046	41
N3104	113248	2	1046	43
N2779	167744	3	1048	44
N2481	354988	8	1116	44
N2179	1696073	44	1303	44
N1889	1738797	45	1349	45
N4166	55382	2	1349	47
N3805	61167	2	1351	50
N3806	82719	3	1351	48
N3456	133623	5	1371	50
N3102	72419	2	1400	53
N3103	158566	6	1400	51
N2778	230527	8	1466	53
N3101	53090	2	1466	55
N2777	81703	3	1468	56
N2480	311662	11	1616	56
N3454	66271	2	1616	60
N3455	111953	2	1616	58
N3100	178027	4	1624	60
N3453	77287	2	1624	62
N3099	119047	3	1626	63
N2776	296879	7	1667	63
N3098	107963	2	1667	65
N2775	153132	3	1669	66
N2479	449700	10	1757	66
N2178	761049	21	1969	66
N3452	151945	2	1969	68
N3096	119605	2	1971	71
N3097	217241	3	1971	69
N2774	335752	5	1991	71
N3095	115323	2	1991	73
N2773	181243	3	1993	74
N2478	515996	8	2075	74
N2177	565533	9	2094	75
N1888	1326404	30	2218	75
N1622	3064573	75	2712	75
N5277	67959	2	2712	77
N4901	88169	3	2714	78
N4529	110070	4	2720	79
N4165	140771	5	2734	80
N3803	85651	2	2764	83
N3804	175020	6	2764	81
N3451	259576	8	2868	83
N4528	98895	2	2868	85
N4164	141352	3	2870	86
N3802	192090	4	2876	87
N3450	238993	5	2889	88
N3094	497875	13	3011	88
N3801	128022	2	3011	90
N3449	151343	3	3013	91
N3093	189886	4	3019	92
N2771	124570	2	3132	94
N2772	687561	17	3132	92
N3800	97739	2	3224	96
N3448	138746	3	3226	97
N3092	196803	4	3232	98
N2770	251699	5	3245	99
N2476	297872	6	3264	100
N2176	1107996	25	3550	100
N1887	1137188	26	3636	101
N2769	69876	2	3636	103
N2474	84339	2	3638	106
N2475	110912	3	3638	104
N2175	194965	5	3657	106
N1886	249070	6	3673	107
N1621	1385137	32	4019	107
N1374	63410	3	4521	110
N1375	4448966	107	4521	107
N1620	63410	2	4521	109
N1154	4512250	110	4613	110
N1885	79335	2	4613	112
N1619	118896	3	4615	113
N1373	157081	4	4621	114
N1153	168286	5	4624	115
N3091	69000	2	4667	117
N966	4680490	115	4667	115
N2767	44264	2	4669	120
N2768	106746	3	4669	118
N2473	150878	5	4676	120
N2174	186758	6	4683	121
N1884	220444	7	4690	122
N2472	61055	2	4690	124
N2172	77146	2	4692	127
N2173	88905	3	4692	125
N1883	165934	5	4708	127
N1618	386291	12	4733	127
N1881	71005	2	4733	131
N1882	77762	2	4733	129
N1617	148608	4	4741	131
N1372	534838	16	4784	131
N3090	553	2	4784	133
N2766	9300	3	4785	134
N2471	10367	4	4786	135
N1880	24070	6	4790	137
N1616	26060	7	4795	138
N1371	45418	8	4804	139
N965	623526	25	4828	140
N1615	158674	2	4890	142
N779	5303948	140	4890	140
N1370	241652	3	4892	143
N1614	93801	2	4892	145
N1369	138612	3	4894	146
N1151	380178	6	4911	146
N963	195436	2	4927	149
N964	428479	7	4927	147
N778	623871	9	4949	149
N2470	64313	2	5096	151
N604	5927630	149	5096	149
N2170	90830	3	5098	152
N1879	120522	4	5099	153
N1613	143381	5	5104	154
N1368	164657	6	5110	155
N1878	37195	2	5110	157
N1612	43838	3	5112	158
N1367	64850	4	5116	159
N1150	229416	10	5139	159
N1366	63383	2	5148	162
N962	246283	11	5148	160
N1149	90677	3	5150	163
N961	109404	4	5156	164
N1365	63242	2	5223	166
N777	355586	15	5223	164
N1148	96069	3	5225	167
N959	42633	2	5231	170
N960	114003	4	5231	168
N776	156607	6	5243	170
N603	512109	21	5310	170
N9616	100656	2	5392	172
N9433	148457	3	5394	173
N9771	93365	2	5394	175
N9617	151717	3	5396	176
N9896	70999	2	5396	178
N10003	99833	2	5398	183
N10098	79201	2	5398	185
N9772	79661	3	5398	179
N9897	106313	2	5398	181
N10004	130893	3	5400	186
N9898	227318	5	5420	186
N9773	326009	7	5508	186
N9618	397660	10	5880	186
N9434	547229	13	6439	186
N9218	692581	16	7166	186
N8959	759706	17	7546	187
N8677	816265	18	7775	188
N8333	863159	19	7951	189
N9775	177401	2	7994	191
N9623	376763	3	7996	192
N9776	58489	2	7996	194
N9624	77608	3	7998	195
N10005	29951	2	8031	199
N9440	454075	6	8031	195
N9625	38673	2	8031	197
N9899	50369	3	8033	200
N9777	57515	4	8039	201
N10243	22637	2	8071	203
N10177	37573	3	8073	204
N10099	51553	4	8079	205
N10006	65105	5	8089	206
N10244	15489	2	8089	208
N10245	19685	2	8089	210
N10178	35123	4	8095	210
N10365	10417	2	8095	212
N10305	20016	3	8097	213
N10366	18921	2	8097	215
N10421	18423	2	8097	217
N10367	27770	3	8099	218
N10306	46392	5	8118	218
N10246	66268	8	8174	218
N10179	76992	9	8193	219
N10100	112018	13	8234	219
N10007	119101	14	8255	220
N9900	184105	19	8329	220
N9778	198498	20	8380	221
N9441	294356	26	8563	221
N9222	748082	32	8840	221
N9627	324281	2	8840	223
N10008	344149	2	8842	226
N9442	467420	3	8842	224
N9901	514364	3	8844	227
N10009	406483	2	8850	230
N10101	402995	2	8850	232
N10180	293549	2	8850	234
N9779	717666	4	8850	228
N10102	489299	3	8852	235
N10010	888850	5	8872	235
N10103	110592	2	8932	237
N9902	1291232	7	8932	235
N10011	159356	3	8934	238
N10247	234719	2	8934	240
N10181	365725	3	8936	241
N10543	200266	2	8936	243
N10524	232408	3	8938	244
N10503	251289	4	8944	245
N10565	218121	2	8964	247
N10563	247485	3	8966	248
N10571	202971	2	8974	250
N10573	244896	3	8981	253
N10572	261072	4	8988	254
N10569	281302	7	9093	255
N10567	284230	9	9472	257
N10566	285545	10	9942	258
N10561	291965	14	13705	259
N10544	292849	16	17521	261
N10504	294669	19	23962	264
N10455	294934	24	33149	265
N10422	295145	25	38124	266
N10368	295186	26	43480	267
N10307	295620	27	49157	268
