sample_id	Taxon ID	Scientific name	Taxonomic rank	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size (seq)	Filtered
marmgCAMI2_short_read_pooled_gold_standard_assembly	2	Bacteria	superkingdom	0.9998521259835456	0.9916060098635219	2396972832	2396618382	2416905866	0.9992944781816849	0.9917619391375393	1418808	1417807	1429584	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	2157	Archaea	superkingdom	0.9993806226988021	0.9721038093795621	156868842	156771681	161270514	0.9986493229981037	0.9872005682789828	150295	150092	152038	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	10239	Viruses	superkingdom		0.0	0	0	623753		0.0	0	0	51	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	1930617	Calditrichaeota	phylum	1.0	1.0	4978230	4978230	4978230	1.0	1.0	11	11	11	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	203691	Spirochaetes	phylum	0.9936946240979507	1.0	6382966	6342719	6342719	0.11382113821138211	1.0	123	14	14	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	1297	Deinococcus-Thermus	phylum	0.993633344017809	1.0	4542416	4513496	4513496	0.9778290993071593	1.0	2165	2117	2117	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	200783	Aquificae	phylum	0.999558399798497	1.0	4923005	4920831	4920831	0.9973078073586599	1.0	3343	3334	3334	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	134625	Kiritimatiellaeota	phylum	0.9996858689716126	1.0	2629476	2628650	2628650	0.9993222636394442	1.0	2951	2949	2949	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	200930	Deferribacteres	phylum	0.9999287916037617	1.0	7808068	7807512	7807512	0.9994100294985251	1.0	5085	5082	5082	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	1090	Chlorobi	phylum	0.9994093302810353	1.0	9910784	9904930	9904930	0.9982158786797503	1.0	4484	4476	4476	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	200940	Thermodesulfobacteria	phylum	0.9992894963512905	1.0	1829688	1828388	1828388	0.998755057578587	1.0	3213	3209	3209	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	203682	Planctomycetes	phylum	0.98801746262178	1.0	3812715	3767029	3767029	0.9720479178551056	1.0	1753	1704	1704	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	508458	Synergistetes	phylum	0.9993512954849066	1.0	2000911	1999613	1999613	0.3333333333333333	1.0	6	2	2	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	544448	Tenericutes	phylum	0.982972589013105	1.0	1911095	1878554	1878554	0.018018018018018018	1.0	111	2	2	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	32066	Fusobacteria	phylum	0.9903595242935878	1.0	3162707	3132217	3132217	0.033707865168539325	1.0	89	3	3	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	74201	Verrucomicrobia	phylum	0.9629864637408072	0.9999117609686998	1765111	1699778	1699928	0.9893617021276596	0.9998080245728547	5264	5208	5209	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	200918	Thermotogae	phylum	0.9998423310314493	0.9998961692135433	30551351	30546534	30549706	0.9996102666889372	0.9997215880616961	35922	35908	35918	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	201174	Actinobacteria	phylum	0.9931222669622041	0.9954172984595128	187690187	186399304	187257449	0.9853797672722054	0.9952829618892312	167234	164789	165570	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	1224	Proteobacteria	phylum	0.9986323737227897	0.9949651118243702	1607963401	1605764308	1613890064	0.9967176030603524	0.9896000914947962	911529	908537	918085	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	28890	Euryarchaeota	phylum	0.9994265214775502	0.9895191307269842	131872419	131796793	133192769	0.9987589681076834	0.995513134876776	136177	136008	136621	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	976	Bacteroidetes	phylum	0.9984543893787657	0.9888982620190362	291701541	291250684	294520372	0.9906612949446252	0.9921832793084819	118646	117538	118464	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	28889	Crenarchaeota	phylum	0.9996636933546228	0.9776889825328244	14724657	14719705	15055611	0.9986781901372649	0.9233806524395977	9835	9822	10637	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	1239	Firmicutes	phylum	0.9862907568497992	0.9768336897147515	127217818	125473758	128449458	0.9515324550239069	0.9745288004227585	87213	82986	85155	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	1117	Cyanobacteria	phylum	0.9985940318667657	0.9483974859664023	95736167	95601565	100803267	0.9963799194568426	0.9413105882676116	68783	68534	72807	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	651137	Thaumarchaeota	phylum	0.999844929769483	0.8175853393287894	10246970	10245381	12531268	0.9990563812219864	0.8861686545302364	4239	4235	4779	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	57723	Acidobacteria	phylum	0.921894828066483	0.010694422028882893	64618	59571	5570287	0.7966101694915254	0.010131493856434576	59	47	4639	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	192989	Nanoarchaeota	phylum		0.0	0	0	490866		0.0	0	0	1	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	204428	Chlamydiae	phylum	0.0		1872	0	0	0.0		7	0	0	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	2138240	Coprothermobacterota	phylum	0.0		1897	0	0	0.0		5	0	0	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	1936987	Balneolaeota	phylum	0.0		4606	0	0	0.0		8	0	0	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	1853220	Rhodothermaeota	phylum	0.0		7877	0	0	0.0		9	0	0	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	256845	Lentisphaerae	phylum	0.0		2699	0	0	0.0		5	0	0	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	65842	Fibrobacteres	phylum	0.0		2412	0	0	0.0		12	0	0	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	1134404	Ignavibacteriae	phylum	0.0		398	0	0	0.0		1	0	0	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	200795	Chloroflexi	phylum	0.0		17877	0	0	0.0		27	0	0	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	62680	Candidatus Marinimicrobia	phylum	0.0		239	0	0	0.0		1	0	0	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	142182	Gemmatimonadetes	phylum	0.0		6824	0	0	0.0		7	0	0	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	74152	Elusimicrobia	phylum	0.0		272	0	0	0.0		1	0	0	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	1855361	Candidatus Kryptonia	phylum	0.0		718	0	0	0.0		3	0	0	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	1802339	Candidatus Tectomicrobia	phylum	0.0		1192	0	0	0.0		3	0	0	True
