Sample	Tool	accuracy_bp	accuracy_bp (unfiltered)	accuracy_seq	accuracy_seq (unfiltered)	adjusted_rand_index_bp	adjusted_rand_index_bp (unfiltered)	adjusted_rand_index_seq	adjusted_rand_index_seq (unfiltered)	binning type	f1_score_bp	f1_score_bp (unfiltered)	f1_score_bp_cami1	f1_score_bp_cami1 (unfiltered)	f1_score_per_bp	f1_score_per_bp (unfiltered)	f1_score_per_seq	f1_score_per_seq (unfiltered)	f1_score_seq	f1_score_seq (unfiltered)	f1_score_seq_cami1	f1_score_seq_cami1 (unfiltered)	misclassification_bp	misclassification_bp (unfiltered)	misclassification_seq	misclassification_seq (unfiltered)	percentage_of_assigned_bps	percentage_of_assigned_bps (unfiltered)	percentage_of_assigned_seqs	percentage_of_assigned_seqs (unfiltered)	precision_avg_bp	precision_avg_bp (unfiltered)	precision_avg_bp_sem	precision_avg_bp_sem (unfiltered)	precision_avg_bp_var	precision_avg_bp_var (unfiltered)	precision_avg_seq	precision_avg_seq (unfiltered)	precision_avg_seq_sem	precision_avg_seq_sem (unfiltered)	precision_weighted_bp	precision_weighted_bp (unfiltered)	precision_weighted_seq	precision_weighted_seq (unfiltered)	rand_index_bp	rand_index_bp (unfiltered)	rand_index_seq	rand_index_seq (unfiltered)	rank	recall_avg_bp	recall_avg_bp (unfiltered)	recall_avg_bp_cami1	recall_avg_bp_cami1 (unfiltered)	recall_avg_bp_sem	recall_avg_bp_sem (unfiltered)	recall_avg_bp_sem_cami1	recall_avg_bp_sem_cami1 (unfiltered)	recall_avg_bp_var	recall_avg_bp_var (unfiltered)	recall_avg_bp_var_cami1	recall_avg_bp_var_cami1 (unfiltered)	recall_avg_seq	recall_avg_seq (unfiltered)	recall_avg_seq_cami1	recall_avg_seq_cami1 (unfiltered)	recall_avg_seq_sem	recall_avg_seq_sem (unfiltered)	recall_avg_seq_sem_cami1	recall_avg_seq_sem_cami1 (unfiltered)	recall_weighted_bp	recall_weighted_bp (unfiltered)	recall_weighted_seq	recall_weighted_seq (unfiltered)	unifrac_bp	unifrac_bp (unfiltered)	unifrac_seq	unifrac_seq (unfiltered)
marmgCAMI2_short_read_pooled_gold_standard_assembly	Gold standard	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	taxonomic	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	superkingdom	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
marmgCAMI2_short_read_pooled_gold_standard_assembly	Gold standard	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	taxonomic	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	phylum	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
marmgCAMI2_short_read_pooled_gold_standard_assembly	Gold standard	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	taxonomic	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	class	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
marmgCAMI2_short_read_pooled_gold_standard_assembly	Gold standard	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	taxonomic	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	order	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
marmgCAMI2_short_read_pooled_gold_standard_assembly	Gold standard	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	taxonomic	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	family	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
marmgCAMI2_short_read_pooled_gold_standard_assembly	Gold standard	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	taxonomic	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	genus	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
marmgCAMI2_short_read_pooled_gold_standard_assembly	Gold standard	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	taxonomic	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	species	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
marmgCAMI2_short_read_pooled_gold_standard_assembly	LSHVec cami2	0.9372210878507815	0.9372210878507815	0.9038429561609764	0.9038429561609764	0.0	0.0	0.0	0.0	taxonomic	0.49176489267172163	0.49176489267172163	0.0	0.0	0.9372210878507815	0.9372210878507815	0.9038429561609764	0.9038429561609764	0.4870461678668921	0.4870461678668921	0.0	0.0	0.06277891214921849	0.06277891214921849	0.09615704383902357	0.09615704383902357	1.0	1.0	1.0	1.0	0.9372210878507815	0.9372210878507815			0.0	0.0	0.9038429561609764	0.9038429561609764			0.9372210878507815	0.9372210878507815	0.9038429561609764	0.9038429561609764	0.8822943067092298	0.8822943067092298	0.8261719576191002	0.8261719576191002	superkingdom	0.3333333333333333	0.3333333333333333	0.0	0.0	0.33333333333333337	0.33333333333333337	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.3333333333333333	0.0	0.0	0.33333333333333337	0.33333333333333337	0.0	0.0	0.9372210878507815	0.9372210878507815	0.9038429561609764	0.9038429561609764	1.3107309037923625	1.3106395307674108	3.061798942913158	3.0615499194210094
marmgCAMI2_short_read_pooled_gold_standard_assembly	LSHVec cami2	0.8460838161339387	0.8494623098906146	0.6012128128502999	0.6026905568615146	0.8447494981242353	0.8418467770335201	0.5902209771685039	0.5819006605596022	taxonomic	0.1346902255336679	0.18443257125723628	0.0	0.0	0.8794789499543755	0.8792484452139728	0.6735584764973173	0.6684757421916523	0.09979745460858944	0.11749438583217522	0.0	0.0	0.08438135982331874	0.08880062832921976	0.23430300618187594	0.2496182033702069	0.9240570025645994	0.9322463736262633	0.7851837184998874	0.8031785413350809	0.8743812764134969	0.10842086011175374	0.03489164113538864	0.02348673506806854	0.0	0.0	0.5575999336268627	0.06715937093274002	0.09236804271024901	0.017531620290211953	0.9156186401766813	0.9111993716707802	0.7656969938181241	0.7503817966297931	0.9230650419719445	0.9218345828281037	0.8033479213934733	0.8014745967734316	phylum	0.07296489093524236	0.616996701429662	0.0	0.0	0.018963564567176867	0.07425250310698234	0.0	0.0	0.0	0.0	0.0	0.0	0.054802956318488596	0.4690134365319612	0.0	0.0	0.014930964418921595	0.07030865095713358	0.0	0.0	0.8460838161339387	0.8494623098906146	0.6012128128502999	0.6026905568615146	1.3107309037923625	1.3106395307674108	3.061798942913158	3.0615499194210094
marmgCAMI2_short_read_pooled_gold_standard_assembly	LSHVec cami2	0.8441759419721577	0.8469609000582788	0.5796043018608449	0.5811332942971336	0.8833744688826574	0.8795616619228637	0.6531368359928419	0.6428911921358745	taxonomic	0.3049257764130365	0.3468386658604782	0.0	0.0	0.879788804731638	0.8787540065110342	0.6582530239467758	0.6541018497663795	0.2138648905847746	0.20500288379089096	0.0	0.0	0.08146122168467584	0.08697290285173864	0.2384029646622844	0.2519741459485062	0.9190422461210032	0.9276404859216852	0.7610380226911341	0.7768893162576819	0.811457630028638	0.24680707383020692	0.05012171999714924	0.041453517688635824	0.0	0.0	0.41556768995967713	0.13335320845680762	0.07777175235715926	0.029913551012382536	0.9185387783153242	0.9130270971482614	0.7615970353377156	0.7480258540514938	0.9506355713331921	0.9494531269300185	0.8431938133964392	0.8405954072475246	class	0.18773620801480842	0.5832189079704665	0.0	0.0	0.03637160095222762	0.06743454029413411	0.0	0.0	0.0	0.0	0.0	0.0	0.1439811882787429	0.44305067980532514	0.0	0.0	0.02961220182500648	0.060689469603104	0.0	0.0	0.8441759419721577	0.8469609000582788	0.5796043018608449	0.5811332942971336	1.3107309037923625	1.3106395307674108	3.061798942913158	3.0615499194210094
