sample_id	Taxon ID	Scientific name	Taxonomic rank	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size (seq)	Filtered
marmgCAMI2_short_read_pooled_gold_standard_assembly	2	Bacteria	superkingdom	1.0	1.0	2416905866	2416905866	2416905866	1.0	1.0	1429584	1429584	1429584	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	2157	Archaea	superkingdom	1.0	1.0	161270514	161270514	161270514	1.0	1.0	152038	152038	152038	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	10239	Viruses	superkingdom	1.0	1.0	623753	623753	623753	1.0	1.0	51	51	51	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	976	Bacteroidetes	phylum	1.0	1.0	294520372	294520372	294520372	1.0	1.0	118464	118464	118464	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	1239	Firmicutes	phylum	1.0	1.0	128449458	128449458	128449458	1.0	1.0	85155	85155	85155	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	192989	Nanoarchaeota	phylum	1.0	1.0	490866	490866	490866	1.0	1.0	1	1	1	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	32066	Fusobacteria	phylum	1.0	1.0	3132217	3132217	3132217	1.0	1.0	3	3	3	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	203691	Spirochaetes	phylum	1.0	1.0	6342719	6342719	6342719	1.0	1.0	14	14	14	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	1930617	Calditrichaeota	phylum	1.0	1.0	4978230	4978230	4978230	1.0	1.0	11	11	11	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	508458	Synergistetes	phylum	1.0	1.0	1999613	1999613	1999613	1.0	1.0	2	2	2	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	1297	Deinococcus-Thermus	phylum	1.0	1.0	4513496	4513496	4513496	1.0	1.0	2117	2117	2117	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	134625	Kiritimatiellaeota	phylum	1.0	1.0	2628650	2628650	2628650	1.0	1.0	2949	2949	2949	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	200930	Deferribacteres	phylum	1.0	1.0	7807512	7807512	7807512	1.0	1.0	5082	5082	5082	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	203682	Planctomycetes	phylum	1.0	1.0	3767029	3767029	3767029	1.0	1.0	1704	1704	1704	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	651137	Thaumarchaeota	phylum	1.0	1.0	12531268	12531268	12531268	1.0	1.0	4779	4779	4779	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	74201	Verrucomicrobia	phylum	1.0	1.0	1699928	1699928	1699928	1.0	1.0	5209	5209	5209	False
