sample_id	Taxon ID	Scientific name	Taxonomic rank	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size (seq)	Filtered
marmgCAMI2_short_read_pooled_gold_standard_assembly	2	Bacteria	superkingdom	0.9998298712544244	0.991637479438349	2397102257	2396694441	2416905866	0.9992163594824026	0.9918311900524908	1419018	1417906	1429584	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	2157	Archaea	superkingdom	0.9994709152965753	0.9717710641140512	156800980	156718019	161270514	0.9985352960366443	0.9864704876412476	150201	149981	152038	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	10239	Viruses	superkingdom		0.0	0	0	623753		0.0	0	0	51	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	200940	Thermodesulfobacteria	phylum	0.9991267692758306	1.0	1829986	1828388	1828388	0.9978233830845771	1.0	3216	3209	3209	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	203691	Spirochaetes	phylum	0.9942712827059673	1.0	6379264	6342719	6342719	0.11965811965811966	1.0	117	14	14	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	1090	Chlorobi	phylum	0.999622956309154	1.0	9908666	9904930	9904930	0.9975484733675062	1.0	4487	4476	4476	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	203682	Planctomycetes	phylum	0.9858720673999454	1.0	3821012	3767029	3767029	0.9643463497453311	1.0	1767	1704	1704	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	1930617	Calditrichaeota	phylum	0.9999425531624283	1.0	4978516	4978230	4978230	0.9166666666666666	1.0	12	11	11	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	134625	Kiritimatiellaeota	phylum	0.9972971886056999	1.0	2635774	2628650	2628650	0.9979695431472081	1.0	2955	2949	2949	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	544448	Tenericutes	phylum	0.9806695924948176	1.0	1915583	1878554	1878554	0.016129032258064516	1.0	124	2	2	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	508458	Synergistetes	phylum	0.9991390750978346	1.0	2001336	1999613	1999613	0.3333333333333333	1.0	6	2	2	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	200930	Deferribacteres	phylum	0.999236703357123	1.0	7813476	7807512	7807512	0.9962752401489904	1.0	5101	5082	5082	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	1297	Deinococcus-Thermus	phylum	0.9973318284035319	1.0	4525571	4513496	4513496	0.9897148200093502	1.0	2139	2117	2117	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	32066	Fusobacteria	phylum	0.9876302520584452	1.0	3171447	3132217	3132217	0.022556390977443608	1.0	133	3	3	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	200783	Aquificae	phylum	0.9985784835371956	1.0	4927836	4920831	4920831	0.9925573087228342	1.0	3359	3334	3334	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	200918	Thermotogae	phylum	0.9992638867648947	0.9999285099503086	30570025	30547522	30549706	0.9979713769626233	0.9998329528370177	35985	35912	35918	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	74201	Verrucomicrobia	phylum	0.9755601738101346	0.9999117609686998	1742361	1699778	1699928	0.9921889883787388	0.9998080245728547	5249	5208	5209	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	201174	Actinobacteria	phylum	0.9937590778684392	0.9950131970451013	187493767	186323633	187257449	0.987211846877904	0.99451591471885	166795	164662	165570	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	1224	Proteobacteria	phylum	0.9984297759215056	0.9948318710263774	1608074309	1605549272	1613890064	0.99594222803384	0.9888899176002222	911584	907885	918085	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	28890	Euryarchaeota	phylum	0.999404301192925	0.9893933055780227	131858582	131780034	133192769	0.9985311721980273	0.9951837565235213	136163	135963	136621	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	976	Bacteroidetes	phylum	0.9982811979247919	0.9884147267069185	291609492	291108273	294520372	0.9892158685620595	0.9880301188546732	118322	117046	118464	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	1239	Firmicutes	phylum	0.9848286478775323	0.9764416522489335	127355557	125423401	128449458	0.944954233018341	0.9734953907580295	87727	82898	85155	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	28889	Crenarchaeota	phylum	0.9994762491359505	0.9762315856858947	14705465	14697763	15055611	0.9973509933774835	0.9202782739494219	9815	9789	10637	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	1117	Cyanobacteria	phylum	0.9973384008326099	0.9484825923350282	95865299	95610144	100803267	0.9932632127955494	0.9416539618443281	69024	68559	72807	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	651137	Thaumarchaeota	phylum	0.9998924794560008	0.8163182688296189	10230603	10229503	12531268	0.9988115046351319	0.8792634442351956	4207	4202	4779	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	57723	Acidobacteria	phylum	0.8373962070732958	0.007332476764662216	48775	40844	5570287	0.5681818181818182	0.0053890924768269025	44	25	4639	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	192989	Nanoarchaeota	phylum		0.0	0	0	490866		0.0	0	0	1	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	1853220	Rhodothermaeota	phylum	0.0		12912	0	0	0.0		13	0	0	True
