sample_id	Taxon ID	Scientific name	Taxonomic rank	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size (seq)	Filtered
marmgCAMI2_short_read_pooled_gold_standard_assembly	2	Bacteria	superkingdom	0.9999533348021649	0.990348014240783	2393689627	2393577925	2416905866	0.9998509147445318	0.985167713124937	1408590	1408380	1429584	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	2157	Archaea	superkingdom	0.9996891010465696	0.9713599164196872	156700431	156651713	161270514	0.9995728606324332	0.9850826766992462	149834	149770	152038	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	10239	Viruses	superkingdom		0.0	0	0	623753		0.0	0	0	51	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	200940	Thermodesulfobacteria	phylum	0.9996626581119242	1.0	1829005	1828388	1828388	0.9993771410775459	1.0	3211	3209	3209	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	203691	Spirochaetes	phylum	0.9983015687391694	1.0	6353510	6342719	6342719	0.5	1.0	28	14	14	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	1090	Chlorobi	phylum	0.999572214380439	1.0	9909169	9904930	9904930	0.9982158786797503	1.0	4484	4476	4476	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	203682	Planctomycetes	phylum	0.9875737594208096	1.0	3814428	3767029	3767029	0.9759450171821306	1.0	1746	1704	1704	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	1930617	Calditrichaeota	phylum	1.0	1.0	4978230	4978230	4978230	1.0	1.0	11	11	11	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	134625	Kiritimatiellaeota	phylum	0.997989328558748	1.0	2633946	2628650	2628650	0.9993222636394442	1.0	2951	2949	2949	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	544448	Tenericutes	phylum	0.9949156689549687	1.0	1888154	1878554	1878554	0.07142857142857142	1.0	28	2	2	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	508458	Synergistetes	phylum	0.9992229537949837	1.0	2001168	1999613	1999613	0.6666666666666666	1.0	3	2	2	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	200930	Deferribacteres	phylum	0.9994931812458883	1.0	7811471	7807512	7807512	0.9990171024179281	1.0	5087	5082	5082	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	1297	Deinococcus-Thermus	phylum	0.9971916883165087	1.0	4526207	4513496	4513496	0.9920337394564198	1.0	2134	2117	2117	True
