Sample	Tool	accuracy_bp	accuracy_bp (unfiltered)	accuracy_seq	accuracy_seq (unfiltered)	adjusted_rand_index_bp	adjusted_rand_index_bp (unfiltered)	adjusted_rand_index_seq	adjusted_rand_index_seq (unfiltered)	binning type	f1_score_bp	f1_score_bp (unfiltered)	f1_score_bp_cami1	f1_score_bp_cami1 (unfiltered)	f1_score_per_bp	f1_score_per_bp (unfiltered)	f1_score_per_seq	f1_score_per_seq (unfiltered)	f1_score_seq	f1_score_seq (unfiltered)	f1_score_seq_cami1	f1_score_seq_cami1 (unfiltered)	misclassification_bp	misclassification_bp (unfiltered)	misclassification_seq	misclassification_seq (unfiltered)	percentage_of_assigned_bps	percentage_of_assigned_bps (unfiltered)	percentage_of_assigned_seqs	percentage_of_assigned_seqs (unfiltered)	precision_avg_bp	precision_avg_bp (unfiltered)	precision_avg_bp_sem	precision_avg_bp_sem (unfiltered)	precision_avg_bp_var	precision_avg_bp_var (unfiltered)	precision_avg_seq	precision_avg_seq (unfiltered)	precision_avg_seq_sem	precision_avg_seq_sem (unfiltered)	precision_weighted_bp	precision_weighted_bp (unfiltered)	precision_weighted_seq	precision_weighted_seq (unfiltered)	rand_index_bp	rand_index_bp (unfiltered)	rand_index_seq	rand_index_seq (unfiltered)	rank	recall_avg_bp	recall_avg_bp (unfiltered)	recall_avg_bp_cami1	recall_avg_bp_cami1 (unfiltered)	recall_avg_bp_sem	recall_avg_bp_sem (unfiltered)	recall_avg_bp_sem_cami1	recall_avg_bp_sem_cami1 (unfiltered)	recall_avg_bp_var	recall_avg_bp_var (unfiltered)	recall_avg_bp_var_cami1	recall_avg_bp_var_cami1 (unfiltered)	recall_avg_seq	recall_avg_seq (unfiltered)	recall_avg_seq_cami1	recall_avg_seq_cami1 (unfiltered)	recall_avg_seq_sem	recall_avg_seq_sem (unfiltered)	recall_avg_seq_sem_cami1	recall_avg_seq_sem_cami1 (unfiltered)	recall_weighted_bp	recall_weighted_bp (unfiltered)	recall_weighted_seq	recall_weighted_seq (unfiltered)	unifrac_bp	unifrac_bp (unfiltered)	unifrac_seq	unifrac_seq (unfiltered)
rhimgCAMI2_short_read_pooled_gsa	Gold standard	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	taxonomic	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	superkingdom	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
rhimgCAMI2_short_read_pooled_gsa	Gold standard	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	taxonomic	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	phylum	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
rhimgCAMI2_short_read_pooled_gsa	Gold standard	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	taxonomic	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	class	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
rhimgCAMI2_short_read_pooled_gsa	Gold standard	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	taxonomic	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	order	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
rhimgCAMI2_short_read_pooled_gsa	Gold standard	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	taxonomic	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	family	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
rhimgCAMI2_short_read_pooled_gsa	Gold standard	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	taxonomic	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	genus	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
rhimgCAMI2_short_read_pooled_gsa	Gold standard	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	taxonomic	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	species	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
rhimgCAMI2_short_read_pooled_gsa	Kraken 2.0.8-beta	0.5097573172107978	0.5102110917012737	0.3032374972897486	0.30457105754592273	0.551271525988162	0.5506348832589086	0.46796193373568384	0.4899991936363167	taxonomic	0.4381193637746985	0.5116812794994602	0.0	0.0	0.6443295000759597	0.6437874710588228	0.4538517032949298	0.45485604559745685	0.34921006442282937	0.5060124691586178	0.0	0.0	0.12456105721952004	0.12788838185271145	0.09827095530759178	0.10208363403921894	0.5822876871249965	0.5850295777335986	0.33628449596318255	0.33919757907522724	0.918997768869535	0.5137865498866238	0.07899429765307159	0.23998757318533667	0.0	0.0	0.941412434619068	0.604961572916401	0.04599504763520745	0.22224321519207013	0.87543894278048	0.8721116181472885	0.9017290446924082	0.8979163659607811	0.7819332597869664	0.7810812205475144	0.8227768050972306	0.8231653033674508	superkingdom	0.28761880893169306	0.5095931916425439	0.0	0.0	0.2203599459511267	0.23090378170448025	0.0	0.0	0.0	0.0	0.0	0.0	0.21436327812534967	0.43488202324739084	0.0	0.0	0.20297511918223354	0.237635781871755	0.0	0.0	0.5097573172107978	0.5102110917012737	0.3032374972897486	0.30457105754592273	6.124582647107997	6.124466740234434	8.29214332621518	8.291646193466626
rhimgCAMI2_short_read_pooled_gsa	Kraken 2.0.8-beta	0.3711883993731561	0.37325695403781795	0.2662525640924738	0.2718609925927351	0.7080220997236094	0.7055324222932562	0.77175513710579	0.7721792600066009	taxonomic	0.20822723598586257	0.2937243769467883	0.0	0.0	0.4721847387417882	0.4732318854975115	0.40111649484558715	0.40719521582198265	0.20451679354108723	0.3512876046859013	0.0	0.0	0.3513151445713778	0.3536454009378591	0.1871572712338324	0.18916637324326324	0.5722168419176231	0.5774801549790362	0.3275572932744623	0.33528578936736403	0.5412181252625541	0.19653760770343345	0.12422328270093691	0.05033664064115148	0.0	0.0	0.6866430322378305	0.2560624268549548	0.11182630442864842	0.05839639707380771	0.6486848554286222	0.6463545990621409	0.8128427287661676	0.8108336267567368	0.86910368637077	0.8689662727787282	0.9008663233861163	0.9033938941770546	phylum	0.12891236811172546	0.5810508221578792	0.0	0.0	0.04586095204723459	0.09910701333077679	0.0	0.0	0.0	0.0	0.0	0.0	0.12015205631503258	0.5592706734651296	0.0	0.0	0.043008616607763936	0.09686862339539151	0.0	0.0	0.3711883993731561	0.37325695403781795	0.2662525640924738	0.2718609925927351	6.124582647107997	6.124466740234434	8.29214332621518	8.291646193466626
rhimgCAMI2_short_read_pooled_gsa	Kraken 2.0.8-beta	0.3840268554108804	0.3853950425528603	0.26099740982038877	0.2645553133882659	0.7201602323176998	0.716202006629467	0.7799793901297313	0.7772469844537165	taxonomic	0.28602667575772395	0.33479704776911445	0.0	0.0	0.4944597183153855	0.4945525455325355	0.3945166168466844	0.3979819299504816	0.27481568749323626	0.37160128750019844	0.0	0.0	0.3059576746825591	0.31002100719319226	0.19227120502785633	0.1970618426827846	0.5533190720540484	0.5585605454234023	0.3231250531676166	0.32948404678163584	0.6542166970795	0.22781516841115118	0.0732625295904818	0.0396724112044504	0.0	0.0	0.7263709076909421	0.26911375952939853	0.06532926550106968	0.04351852297958414	0.6940423253174409	0.6899789928068077	0.8077287949721437	0.8029381573172154	0.9271242291541694	0.9269335627058978	0.945435013267172	0.9463371513043188	class	0.18302249361530964	0.6312155070735849	0.0	0.0	0.039331398317699356	0.07042492468439414	0.0	0.0	0.0	0.0	0.0	0.0	0.1694657378302442	0.600163723260911	0.0	0.0	0.03746377507812401	0.070062907393988	0.0	0.0	0.3840268554108804	0.3853950425528603	0.26099740982038877	0.2645553133882659	6.124582647107997	6.124466740234434	8.29214332621518	8.291646193466626
