sample_id	Taxon ID	Scientific name	Taxonomic rank	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size (seq)	Filtered
rhimgCAMI2_short_read_pooled_gsa	2	Bacteria	superkingdom	0.999455440744358	0.9599683846295081	1000361291	999816535	1041509857	0.9991280186810914	0.9247866185484332	1082592	1081648	1169619	False
rhimgCAMI2_short_read_pooled_gsa	2157	Archaea	superkingdom	0.9962682053858961	0.9315499594664756	1231847	1227250	1317428	0.9977384868421053	0.9242049133498381	4864	4853	5251	True
rhimgCAMI2_short_read_pooled_gsa	2759	Eukaryota	superkingdom	0.9950447986197651	0.756696077262279	1148104903	1142415812	1509741951	0.9994638560007878	0.566933444933038	1279507	1278821	2255681	False
rhimgCAMI2_short_read_pooled_gsa	10239	Viruses	superkingdom	0.9640463350949762	0.22447257031351198	111449	107442	478642	0.8169014084507042	0.06705202312138728	71	58	865	True
rhimgCAMI2_short_read_pooled_gsa	201174	Actinobacteria	phylum	0.9991438710713888	0.9578369647054407	183862494	183705084	191791600	0.9990297552901838	0.9067954656265237	297863	297574	328160	False
rhimgCAMI2_short_read_pooled_gsa	28889	Crenarchaeota	phylum	0.9968905328863715	0.9515408294991891	173020	172482	181266	0.997080291970803	0.9472954230235784	685	683	721	True
rhimgCAMI2_short_read_pooled_gsa	142182	Gemmatimonadetes	phylum	0.9995843661205489	0.9509381467479167	1058624	1058184	1112779	0.9994841372194996	0.9400776322173702	3877	3875	4122	True
rhimgCAMI2_short_read_pooled_gsa	976	Bacteroidetes	phylum	0.9995833643859885	0.9473502129232382	53927219	53904751	56900553	0.999143573744418	0.9135809374650409	65388	65332	71512	False
rhimgCAMI2_short_read_pooled_gsa	57723	Acidobacteria	phylum	0.9911056893512545	0.9470337074792621	2726462	2702212	2853343	0.9945685591309694	0.9352413992483377	9758	9705	10377	True
rhimgCAMI2_short_read_pooled_gsa	67819	Armatimonadetes	phylum	0.9981674050877328	0.9459077314117087	284842	284320	300579	0.9991204925241864	0.9365210222588624	1137	1136	1213	True
rhimgCAMI2_short_read_pooled_gsa	1297	Deinococcus-Thermus	phylum	0.9998441297103078	0.9442810907544876	6710708	6709662	7105577	0.9998481704539703	0.9258165799709452	19759	19756	21339	True
rhimgCAMI2_short_read_pooled_gsa	35493	Streptophyta	phylum	0.9937991517110365	0.9422480545630464	112528636	111830863	118685162	0.9488828482397401	0.868762899113755	15083	14312	16474	False
rhimgCAMI2_short_read_pooled_gsa	508458	Synergistetes	phylum	1.0	0.9410980887021959	653299	653299	694188	1.0	0.9318081830180378	2118	2118	2273	True
rhimgCAMI2_short_read_pooled_gsa	28890	Euryarchaeota	phylum	0.9974422060363938	0.9282839125944953	821020	818920	882187	0.997825411618515	0.9203438395415473	3219	3212	3490	True
rhimgCAMI2_short_read_pooled_gsa	74201	Verrucomicrobia	phylum	0.9896605879868149	0.9265494251723536	1384895	1370576	1479226	0.9943150559325142	0.9169626247251818	5453	5422	5913	True
rhimgCAMI2_short_read_pooled_gsa	1224	Proteobacteria	phylum	0.9997726911263086	0.9257669230187761	675283800	675130302	729265958	0.9993798074672742	0.8526435767947619	512744	512426	600985	False
rhimgCAMI2_short_read_pooled_gsa	1117	Cyanobacteria	phylum	0.9843860180798143	0.8910189976951203	1352890	1331766	1494655	0.9912590663938999	0.8811373780790214	5377	5330	6049	True
rhimgCAMI2_short_read_pooled_gsa	200795	Chloroflexi	phylum	0.9924668926128162	0.8860062838020504	637320	632519	713899	0.9949376947040498	0.8723113690679413	2568	2555	2929	True
rhimgCAMI2_short_read_pooled_gsa	651137	Thaumarchaeota	phylum	0.9985330625141051	0.8710503002264003	221550	221225	253975	0.9988864142538976	0.8625	898	897	1040	True
rhimgCAMI2_short_read_pooled_gsa	1239	Firmicutes	phylum	0.9889820634290234	0.8652896556353911	41666604	41207524	47622809	0.9980628100528883	0.8536050843743151	97564	97375	114075	False
rhimgCAMI2_short_read_pooled_gsa	204428	Chlamydiae	phylum	0.9463091635236981	0.8287375995328895	152987	144773	174691	0.9700704225352113	0.8199404761904762	568	551	672	True
rhimgCAMI2_short_read_pooled_gsa	4890	Ascomycota	phylum	0.9692401037141049	0.7094528506069238	980752234	950584397	1339883822	0.9662059028039576	0.5350178388606509	1193670	1153331	2155687	False
