sample_id	Taxon ID	Scientific name	Taxonomic rank	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size (seq)	Filtered
rhimgCAMI2_short_read_pooled_gsa	2759	Eukaryota	superkingdom	1.0	1.0	1509741951	1509741951	1509741951	1.0	1.0	2255681	2255681	2255681	False
rhimgCAMI2_short_read_pooled_gsa	2	Bacteria	superkingdom	1.0	1.0	1041509857	1041509857	1041509857	1.0	1.0	1169619	1169619	1169619	False
rhimgCAMI2_short_read_pooled_gsa	2157	Archaea	superkingdom	1.0	1.0	1317428	1317428	1317428	1.0	1.0	5251	5251	5251	False
rhimgCAMI2_short_read_pooled_gsa	10239	Viruses	superkingdom	1.0	1.0	478642	478642	478642	1.0	1.0	865	865	865	False
rhimgCAMI2_short_read_pooled_gsa	5204	Basidiomycota	phylum	1.0	1.0	49946458	49946458	49946458	1.0	1.0	78550	78550	78550	False
rhimgCAMI2_short_read_pooled_gsa	1224	Proteobacteria	phylum	1.0	1.0	729265958	729265958	729265958	1.0	1.0	600985	600985	600985	False
rhimgCAMI2_short_read_pooled_gsa	204428	Chlamydiae	phylum	1.0	1.0	174691	174691	174691	1.0	1.0	672	672	672	False
rhimgCAMI2_short_read_pooled_gsa	67819	Armatimonadetes	phylum	1.0	1.0	300579	300579	300579	1.0	1.0	1213	1213	1213	False
rhimgCAMI2_short_read_pooled_gsa	28890	Euryarchaeota	phylum	1.0	1.0	882187	882187	882187	1.0	1.0	3490	3490	3490	False
rhimgCAMI2_short_read_pooled_gsa	200795	Chloroflexi	phylum	1.0	1.0	713899	713899	713899	1.0	1.0	2929	2929	2929	False
rhimgCAMI2_short_read_pooled_gsa	28889	Crenarchaeota	phylum	1.0	1.0	181266	181266	181266	1.0	1.0	721	721	721	False
rhimgCAMI2_short_read_pooled_gsa	57723	Acidobacteria	phylum	1.0	1.0	2853343	2853343	2853343	1.0	1.0	10377	10377	10377	False
rhimgCAMI2_short_read_pooled_gsa	508458	Synergistetes	phylum	1.0	1.0	694188	694188	694188	1.0	1.0	2273	2273	2273	False
rhimgCAMI2_short_read_pooled_gsa	35493	Streptophyta	phylum	1.0	1.0	118685162	118685162	118685162	1.0	1.0	16474	16474	16474	False
rhimgCAMI2_short_read_pooled_gsa	1297	Deinococcus-Thermus	phylum	1.0	1.0	7105577	7105577	7105577	1.0	1.0	21339	21339	21339	False
rhimgCAMI2_short_read_pooled_gsa	74201	Verrucomicrobia	phylum	1.0	1.0	1479226	1479226	1479226	1.0	1.0	5913	5913	5913	False
rhimgCAMI2_short_read_pooled_gsa	1117	Cyanobacteria	phylum	1.0	1.0	1494655	1494655	1494655	1.0	1.0	6049	6049	6049	False
rhimgCAMI2_short_read_pooled_gsa	142182	Gemmatimonadetes	phylum	1.0	1.0	1112779	1112779	1112779	1.0	1.0	4122	4122	4122	False
rhimgCAMI2_short_read_pooled_gsa	1239	Firmicutes	phylum	1.0	1.0	47622809	47622809	47622809	1.0	1.0	114075	114075	114075	False
rhimgCAMI2_short_read_pooled_gsa	976	Bacteroidetes	phylum	1.0	1.0	56900553	56900553	56900553	1.0	1.0	71512	71512	71512	False
rhimgCAMI2_short_read_pooled_gsa	1913637	Mucoromycota	phylum	1.0	1.0	1226509	1226509	1226509	1.0	1.0	4970	4970	4970	False
rhimgCAMI2_short_read_pooled_gsa	201174	Actinobacteria	phylum	1.0	1.0	191791600	191791600	191791600	1.0	1.0	328160	328160	328160	False
rhimgCAMI2_short_read_pooled_gsa	4890	Ascomycota	phylum	1.0	1.0	1339883822	1339883822	1339883822	1.0	1.0	2155687	2155687	2155687	False
rhimgCAMI2_short_read_pooled_gsa	651137	Thaumarchaeota	phylum	1.0	1.0	253975	253975	253975	1.0	1.0	1040	1040	1040	False
rhimgCAMI2_short_read_pooled_gsa	162480	Agaricostilbomycetes	class	1.0	1.0	49946458	49946458	49946458	1.0	1.0	78550	78550	78550	False
