sample_id	Taxon ID	Scientific name	Taxonomic rank	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size (seq)	Filtered
rhimgCAMI2_short_read_pooled_gsa	2	Bacteria	superkingdom	0.9376250014083738	0.895062667659419	994231798	932216591	1041509857	0.9884600176485663	0.7288193847740162	862393	852441	1169619	False
rhimgCAMI2_short_read_pooled_gsa	2157	Archaea	superkingdom	0.6778272650823808	0.8590040594248793	1669564	1131676	1317428	0.9392288348700755	0.85355170443725	4772	4482	5251	True
rhimgCAMI2_short_read_pooled_gsa	2759	Eukaryota	superkingdom	0.9995065947532364	0.1443399316390858	218023624	217916050	1509741951	0.9943565037852719	0.00960774152018836	21795	21672	2255681	False
rhimgCAMI2_short_read_pooled_gsa	10239	Viruses	superkingdom	0.0	0.0	354285	0	478642	0.0	0.0	60	0	865	True
rhimgCAMI2_short_read_pooled_gsa	67819	Armatimonadetes	phylum	0.9439287262038601	1.0	318434	300579	300579	0.9861788617886179	1.0	1230	1213	1213	True
rhimgCAMI2_short_read_pooled_gsa	28889	Crenarchaeota	phylum	0.9389442277509285	1.0	193053	181266	181266	0.9890260631001372	1.0	729	721	721	True
rhimgCAMI2_short_read_pooled_gsa	508458	Synergistetes	phylum	0.9793323721358054	1.0	708838	694188	694188	0.9956197985107315	1.0	2283	2273	2273	True
rhimgCAMI2_short_read_pooled_gsa	28890	Euryarchaeota	phylum	0.6381505658226346	1.0	1382412	882187	882187	0.9281914893617021	1.0	3760	3490	3490	True
rhimgCAMI2_short_read_pooled_gsa	57723	Acidobacteria	phylum	0.9021092689330537	0.999947430084641	3162802	2853193	2853343	0.9924438067910091	0.9999036330345957	10455	10376	10377	True
rhimgCAMI2_short_read_pooled_gsa	142182	Gemmatimonadetes	phylum	0.9830825586368293	0.9977371966940426	1129367	1110261	1112779	0.9913190258017844	0.997331392527899	4147	4111	4122	True
rhimgCAMI2_short_read_pooled_gsa	1224	Proteobacteria	phylum	0.9547549766893231	0.9348477897826132	714060346	681752669	729265958	0.9833556636409458	0.7596113047746615	464242	456515	600985	False
rhimgCAMI2_short_read_pooled_gsa	1117	Cyanobacteria	phylum	0.6133268599584313	0.9204217695722424	2243034	1375713	1494655	0.948358413132695	0.9168457596296908	5848	5546	6049	True
rhimgCAMI2_short_read_pooled_gsa	201174	Actinobacteria	phylum	0.9336628259639117	0.8600462950410759	176669404	164949655	191791600	0.9865863846287218	0.7629449049244271	253772	250368	328160	False
rhimgCAMI2_short_read_pooled_gsa	1297	Deinococcus-Thermus	phylum	0.9809899481621993	0.8050330043570001	5831073	5720224	7105577	0.990240649815118	0.76554665167065	16497	16336	21339	False
rhimgCAMI2_short_read_pooled_gsa	976	Bacteroidetes	phylum	0.9525216352009382	0.7391095126966516	44152005	42055740	56900553	0.9865408145429121	0.5524667188723571	40047	39508	71512	False
rhimgCAMI2_short_read_pooled_gsa	1239	Firmicutes	phylum	0.6500210256124255	0.5709844415099495	41832313	27191883	47622809	0.960648596321394	0.5219460880999343	61980	59541	114075	False
rhimgCAMI2_short_read_pooled_gsa	651137	Thaumarchaeota	phylum	0.7619276301094483	0.26862092725661973	89540	68223	253975	0.9818840579710145	0.2605769230769231	276	271	1040	True
rhimgCAMI2_short_read_pooled_gsa	204428	Chlamydiae	phylum	0.7667333886637699	0.08990159767818605	20483	15705	174691	0.9047619047619048	0.08482142857142858	63	57	672	True
rhimgCAMI2_short_read_pooled_gsa	74201	Verrucomicrobia	phylum	0.031054910002278422	0.004607139138982143	219450	6815	1479226	0.20300751879699247	0.0045662100456621	133	27	5913	True
rhimgCAMI2_short_read_pooled_gsa	200795	Chloroflexi	phylum	0.004130524576621231	0.00021011375558727496	36315	150	713899	0.018518518518518517	0.0003414134516899966	54	1	2929	True
rhimgCAMI2_short_read_pooled_gsa	5204	Basidiomycota	phylum		0.0	0	0	49946458		0.0	0	0	78550	True
rhimgCAMI2_short_read_pooled_gsa	4890	Ascomycota	phylum		0.0	0	0	1339883822		0.0	0	0	2155687	True
rhimgCAMI2_short_read_pooled_gsa	1913637	Mucoromycota	phylum		0.0	0	0	1226509		0.0	0	0	4970	True
rhimgCAMI2_short_read_pooled_gsa	35493	Streptophyta	phylum		0.0	0	0	118685162		0.0	0	0	16474	True
rhimgCAMI2_short_read_pooled_gsa	7711	Chordata	phylum	0.0		218023624	0	0	0.0		21795	0	0	False
rhimgCAMI2_short_read_pooled_gsa	203682	Planctomycetes	phylum	0.0		141403	0	0	0.0		121	0	0	True
rhimgCAMI2_short_read_pooled_gsa	1090	Chlorobi	phylum	0.0		24915	0	0	0.0		40	0	0	True
rhimgCAMI2_short_read_pooled_gsa	203691	Spirochaetes	phylum	0.0		44347	0	0	0.0		25	0	0	True
rhimgCAMI2_short_read_pooled_gsa	65842	Fibrobacteres	phylum	0.0		2758	0	0	0.0		6	0	0	True
rhimgCAMI2_short_read_pooled_gsa	40117	Nitrospirae	phylum	0.0		11091	0	0	0.0		21	0	0	True
rhimgCAMI2_short_read_pooled_gsa	200938	Chrysiogenetes	phylum	0.0		351	0	0	0.0		1	0	0	True
rhimgCAMI2_short_read_pooled_gsa	32066	Fusobacteria	phylum	0.0		22046	0	0	0.0		12	0	0	True
rhimgCAMI2_short_read_pooled_gsa	544448	Tenericutes	phylum	0.0		24236	0	0	0.0		15	0	0	True
rhimgCAMI2_short_read_pooled_gsa	1936987	Balneolaeota	phylum	0.0		1339	0	0	0.0		3	0	0	True
rhimgCAMI2_short_read_pooled_gsa	200783	Aquificae	phylum	0.0		2759	0	0	0.0		4	0	0	True
rhimgCAMI2_short_read_pooled_gsa	1134404	Ignavibacteriae	phylum	0.0		11829	0	0	0.0		3	0	0	True
rhimgCAMI2_short_read_pooled_gsa	200940	Thermodesulfobacteria	phylum	0.0		266	0	0	0.0		1	0	0	True
rhimgCAMI2_short_read_pooled_gsa	200930	Deferribacteres	phylum	0.0		13880	0	0	0.0		4	0	0	True
rhimgCAMI2_short_read_pooled_gsa	67810	Candidatus Bipolaricaulota	phylum	0.0		666	0	0	0.0		1	0	0	True
rhimgCAMI2_short_read_pooled_gsa	256845	Lentisphaerae	phylum	0.0		2345	0	0	0.0		6	0	0	True
rhimgCAMI2_short_read_pooled_gsa	134625	Kiritimatiellaeota	phylum	0.0		260	0	0	0.0		1	0	0	True
rhimgCAMI2_short_read_pooled_gsa	74152	Elusimicrobia	phylum	0.0		150	0	0	0.0		1	0	0	True
rhimgCAMI2_short_read_pooled_gsa	1930617	Calditrichaeota	phylum	0.0		3285	0	0	0.0		5	0	0	True
rhimgCAMI2_short_read_pooled_gsa	95818	Candidatus Saccharibacteria	phylum	0.0		959	0	0	0.0		1	0	0	True
rhimgCAMI2_short_read_pooled_gsa	200918	Thermotogae	phylum	0.0		8113	0	0	0.0		4	0	0	True
rhimgCAMI2_short_read_pooled_gsa	2138240	Coprothermobacterota	phylum	0.0		140557	0	0	0.0		1	0	0	True
rhimgCAMI2_short_read_pooled_gsa	183963	Halobacteria	class	0.499194522065991	1.0	292373	145951	145951	0.8046767537826685	1.0	727	585	585	True
rhimgCAMI2_short_read_pooled_gsa	1077257	Chthonomonadetes	class	0.9995012120547071	1.0	300729	300579	300579	0.999176276771005	1.0	1214	1213	1213	True
rhimgCAMI2_short_read_pooled_gsa	649775	Synergistia	class	0.9793323721358054	1.0	708838	694188	694188	0.9956197985107315	1.0	2283	2273	2273	True
rhimgCAMI2_short_read_pooled_gsa	224756	Methanomicrobia	class	0.904142569710777	1.0	672457	607997	607997	0.9778416085350842	1.0	2437	2383	2383	True
rhimgCAMI2_short_read_pooled_gsa	204432	Acidobacteriia	class	0.8891464249717245	1.0	2599420	2311265	2311265	0.9937766931055522	1.0	8195	8144	8144	True
rhimgCAMI2_short_read_pooled_gsa	307596	Gloeobacteria	class	0.9790352699749025	1.0	351829	344453	344453	0.9942857142857143	1.0	1400	1392	1392	True
rhimgCAMI2_short_read_pooled_gsa	29547	Epsilonproteobacteria	class	0.5497654182180702	1.0	313963	172606	172606	0.9494007989347537	1.0	751	713	713	True
rhimgCAMI2_short_read_pooled_gsa	183968	Thermococci	class	0.8618038614812873	1.0	148803	128239	128239	0.9595588235294118	1.0	544	522	522	True
rhimgCAMI2_short_read_pooled_gsa	200643	Bacteroidia	class	0.2293180668930145	1.0	1661160	380934	380934	0.9316770186335404	1.0	1610	1500	1500	True
