sample_id	Taxon ID	Scientific name	Taxonomic rank	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size (seq)	Filtered
rhimgCAMI2_short_read_pooled_gsa	2	Bacteria	superkingdom	0.9993944005676306	0.9721020019112503	1013067330	1012453817	1041509857	0.999034253208662	0.94282240627076	1103809	1102743	1169619	False
rhimgCAMI2_short_read_pooled_gsa	2157	Archaea	superkingdom	0.9960133545351122	0.93568528982229	1237632	1232698	1317428	0.9971358428805237	0.9282041515901733	4888	4874	5251	True
rhimgCAMI2_short_read_pooled_gsa	2759	Eukaryota	superkingdom	0.9975180058771281	0.7582987789679563	1147684023	1144835478	1509741951	0.9993236285101921	0.5665774548794799	1278883	1278018	2255681	False
rhimgCAMI2_short_read_pooled_gsa	10239	Viruses	superkingdom		0.0	0	0	478642		0.0	0	0	865	True
rhimgCAMI2_short_read_pooled_gsa	201174	Actinobacteria	phylum	0.9989168644866363	0.9722711057210013	186675626	186473431	191791600	0.9987191781935211	0.936192710872745	307615	307221	328160	False
rhimgCAMI2_short_read_pooled_gsa	976	Bacteroidetes	phylum	0.9992488328600562	0.9674344817000284	55088938	55047557	56900553	0.9987454985536336	0.9462887347578028	67756	67671	71512	False
rhimgCAMI2_short_read_pooled_gsa	1224	Proteobacteria	phylum	0.9997433135370828	0.9642505114711525	703375620	703195073	729265958	0.9993018255103602	0.9240613326455736	555735	555347	600985	False
rhimgCAMI2_short_read_pooled_gsa	35493	Streptophyta	phylum	0.9923805774361859	0.9629142015241973	115161089	114283628	118685162	0.9320956256358087	0.8898870948160739	15728	14660	16474	False
rhimgCAMI2_short_read_pooled_gsa	57723	Acidobacteria	phylum	0.9893185327733648	0.9484222541769426	2735392	2706174	2853343	0.9939672801635991	0.9367832706948058	9780	9721	10377	True
rhimgCAMI2_short_read_pooled_gsa	142182	Gemmatimonadetes	phylum	0.9995826515852125	0.9470299133969997	1054275	1053835	1112779	0.9994825355756791	0.9371664240659874	3865	3863	4122	True
rhimgCAMI2_short_read_pooled_gsa	1297	Deinococcus-Thermus	phylum	0.9998443131971952	0.9453941601083206	6718617	6717571	7105577	0.9998484925003788	0.927784807160598	19801	19798	21339	True
rhimgCAMI2_short_read_pooled_gsa	1239	Firmicutes	phylum	0.9970665846206765	0.9417274608895918	44979651	44847707	47622809	0.9977594362205328	0.9134692088538242	104438	104204	114075	False
rhimgCAMI2_short_read_pooled_gsa	508458	Synergistetes	phylum	1.0	0.9404556114481956	652853	652853	694188	1.0	0.9313682358117026	2117	2117	2273	True
rhimgCAMI2_short_read_pooled_gsa	28890	Euryarchaeota	phylum	0.996094606148918	0.9376095997787317	830390	827147	882187	0.9972324723247232	0.9292263610315187	3252	3243	3490	True
rhimgCAMI2_short_read_pooled_gsa	74201	Verrucomicrobia	phylum	0.989848100552972	0.926836061561925	1385061	1371000	1479226	0.9937728937728938	0.9176391002875021	5460	5426	5913	True
rhimgCAMI2_short_read_pooled_gsa	1117	Cyanobacteria	phylum	0.9828119961537538	0.9033482643151765	1373807	1350194	1494655	0.9904761904761905	0.8940320714167631	5460	5408	6049	True
rhimgCAMI2_short_read_pooled_gsa	200795	Chloroflexi	phylum	0.9938986549811292	0.8794101126349806	631664	627810	713899	0.9949019607843137	0.8661659269375214	2550	2537	2929	True
rhimgCAMI2_short_read_pooled_gsa	4890	Ascomycota	phylum	0.9688586503975386	0.7289745938883349	1008135980	976741265	1339883822	0.9659366508496573	0.5524248186309051	1232850	1190855	2155687	False
rhimgCAMI2_short_read_pooled_gsa	5204	Basidiomycota	phylum		0.0	0	0	49946458		0.0	0	0	78550	True
rhimgCAMI2_short_read_pooled_gsa	1913637	Mucoromycota	phylum		0.0	0	0	1226509		0.0	0	0	4970	True
rhimgCAMI2_short_read_pooled_gsa	28889	Crenarchaeota	phylum		0.0	0	0	181266		0.0	0	0	721	True
rhimgCAMI2_short_read_pooled_gsa	67819	Armatimonadetes	phylum		0.0	0	0	300579		0.0	0	0	1213	True
rhimgCAMI2_short_read_pooled_gsa	204428	Chlamydiae	phylum		0.0	0	0	174691		0.0	0	0	672	True
rhimgCAMI2_short_read_pooled_gsa	651137	Thaumarchaeota	phylum		0.0	0	0	253975		0.0	0	0	1040	True
rhimgCAMI2_short_read_pooled_gsa	768503	Cytophagia	class	0.998551138446192	0.9770182041993684	12863893	12845255	13147406	0.9972576732412193	0.9174267417038618	9481	9455	10306	False
rhimgCAMI2_short_read_pooled_gsa	28221	Deltaproteobacteria	class	0.9983404370420454	0.9737310983635306	38515562	38451643	39488975	0.9977021870255631	0.9362545965614832	48742	48630	51941	False
rhimgCAMI2_short_read_pooled_gsa	1760	Actinobacteria	class	0.9988549417556044	0.970536428251436	181253662	181046116	186542319	0.9986247037170354	0.9315343167844506	294482	294077	315691	False
rhimgCAMI2_short_read_pooled_gsa	117747	Sphingobacteriia	class	0.9964117112378993	0.9634339127703988	6542673	6519196	6766625	0.9964025541865276	0.9388983050847458	11119	11079	11800	False
