sample_id	Taxon ID	Scientific name	Taxonomic rank	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size (seq)	Filtered
rhimgCAMI2_short_read_pooled_gsa	2	Bacteria	superkingdom	0.7758955446067123	0.9908605617738288	1330064400	1031991042	1041509857	0.5312669475808588	0.9857962293704189	2170295	1153006	1169619	False
rhimgCAMI2_short_read_pooled_gsa	2157	Archaea	superkingdom	0.32000176914189676	0.944607219521674	3888891	1244452	1317428	0.4510215249908792	0.9417253856408303	10964	4945	5251	True
rhimgCAMI2_short_read_pooled_gsa	2759	Eukaryota	superkingdom		0.0	0	0	1509741951		0.0	0	0	2255681	True
rhimgCAMI2_short_read_pooled_gsa	10239	Viruses	superkingdom		0.0	0	0	478642		0.0	0	0	865	True
rhimgCAMI2_short_read_pooled_gsa	28890	Euryarchaeota	phylum	0.2640498942527745	1.0	3340986	882187	882187	0.3978114670010259	1.0	8773	3490	3490	False
rhimgCAMI2_short_read_pooled_gsa	28889	Crenarchaeota	phylum	0.6134690686584743	1.0	295477	181266	181266	0.6023391812865497	1.0	1197	721	721	True
rhimgCAMI2_short_read_pooled_gsa	67819	Armatimonadetes	phylum	0.9694689480559273	1.0	310045	300579	300579	0.967304625199362	1.0	1254	1213	1213	True
rhimgCAMI2_short_read_pooled_gsa	200795	Chloroflexi	phylum	0.6997356506942968	1.0	1020241	713899	713899	0.7441565040650406	1.0	3936	2929	2929	True
rhimgCAMI2_short_read_pooled_gsa	74201	Verrucomicrobia	phylum	0.8852557733057188	0.9997971912337938	1670620	1478926	1479226	0.8831615120274914	0.9996617622188398	6693	5911	5913	True
rhimgCAMI2_short_read_pooled_gsa	508458	Synergistetes	phylum	0.9369547667326369	0.9997839202060537	740738	694038	694188	0.9202106115836372	0.9995600527936648	2469	2272	2273	True
rhimgCAMI2_short_read_pooled_gsa	142182	Gemmatimonadetes	phylum	0.9876983566730688	0.9996027962425603	1126191	1112337	1112779	0.9889582333173308	0.9995147986414362	4166	4120	4122	True
rhimgCAMI2_short_read_pooled_gsa	1297	Deinococcus-Thermus	phylum	0.9683696114307341	0.9981715770584149	7324254	7092585	7105577	0.9584795321637427	0.9985003983316931	22230	21307	21339	False
rhimgCAMI2_short_read_pooled_gsa	976	Bacteroidetes	phylum	0.8588009528288012	0.9965588032158492	66027811	56704747	56900553	0.6609893433849877	0.9931200357981878	107445	71020	71512	False
rhimgCAMI2_short_read_pooled_gsa	204428	Chlamydiae	phylum	0.30028296332871224	0.9956551854417228	579227	173932	174691	0.6059782608695652	0.9955357142857143	1104	669	672	True
rhimgCAMI2_short_read_pooled_gsa	201174	Actinobacteria	phylum	0.9081327169647164	0.9910076614408556	209294238	190066945	191791600	0.8381860197919943	0.9826029985372989	384701	322451	328160	False
rhimgCAMI2_short_read_pooled_gsa	1239	Firmicutes	phylum	0.6963832944406612	0.9859091260240445	67422298	46951762	47622809	0.5904179631917189	0.9930046022353715	191859	113277	114075	False
rhimgCAMI2_short_read_pooled_gsa	1224	Proteobacteria	phylum	0.9327562855660676	0.9772701826841614	764068693	712689876	729265958	0.7458179488859676	0.9279882193399169	747779	557707	600985	False
rhimgCAMI2_short_read_pooled_gsa	57723	Acidobacteria	phylum	0.9405015653100646	0.8115529748789403	2462132	2315639	2853343	0.9331199268320567	0.7865471716295653	8747	8162	10377	True
rhimgCAMI2_short_read_pooled_gsa	651137	Thaumarchaeota	phylum	0.8289794304524932	0.7099438921153657	217506	180308	253975	0.8222722159730034	0.7028846153846153	889	731	1040	True
rhimgCAMI2_short_read_pooled_gsa	1117	Cyanobacteria	phylum	0.3744078794947397	0.6325158648651361	2525035	945393	1494655	0.39332575679305715	0.6293602248305505	9679	3807	6049	False
rhimgCAMI2_short_read_pooled_gsa	5204	Basidiomycota	phylum		0.0	0	0	49946458		0.0	0	0	78550	True
rhimgCAMI2_short_read_pooled_gsa	4890	Ascomycota	phylum		0.0	0	0	1339883822		0.0	0	0	2155687	True
rhimgCAMI2_short_read_pooled_gsa	1913637	Mucoromycota	phylum		0.0	0	0	1226509		0.0	0	0	4970	True
rhimgCAMI2_short_read_pooled_gsa	35493	Streptophyta	phylum		0.0	0	0	118685162		0.0	0	0	16474	True
rhimgCAMI2_short_read_pooled_gsa	203682	Planctomycetes	phylum	0.0		337477	0	0	0.0		1267	0	0	True
rhimgCAMI2_short_read_pooled_gsa	1090	Chlorobi	phylum	0.0		51634	0	0	0.0		215	0	0	True
rhimgCAMI2_short_read_pooled_gsa	544448	Tenericutes	phylum	0.0		277156	0	0	0.0		940	0	0	True
rhimgCAMI2_short_read_pooled_gsa	32066	Fusobacteria	phylum	0.0		227252	0	0	0.0		925	0	0	True
rhimgCAMI2_short_read_pooled_gsa	203691	Spirochaetes	phylum	0.0		596839	0	0	0.0		2351	0	0	True
rhimgCAMI2_short_read_pooled_gsa	200783	Aquificae	phylum	0.0		46308	0	0	0.0		204	0	0	True
rhimgCAMI2_short_read_pooled_gsa	1853220	Rhodothermaeota	phylum	0.0		12269	0	0	0.0		52	0	0	True
rhimgCAMI2_short_read_pooled_gsa	200930	Deferribacteres	phylum	0.0		16684	0	0	0.0		68	0	0	True
rhimgCAMI2_short_read_pooled_gsa	65842	Fibrobacteres	phylum	0.0		103492	0	0	0.0		442	0	0	True
rhimgCAMI2_short_read_pooled_gsa	200938	Chrysiogenetes	phylum	0.0		7874	0	0	0.0		34	0	0	True
rhimgCAMI2_short_read_pooled_gsa	40117	Nitrospirae	phylum	0.0		47878	0	0	0.0		199	0	0	True
rhimgCAMI2_short_read_pooled_gsa	74152	Elusimicrobia	phylum	0.0		6568	0	0	0.0		27	0	0	True
rhimgCAMI2_short_read_pooled_gsa	1802339	Candidatus Tectomicrobia	phylum	0.0		13720	0	0	0.0		59	0	0	True
rhimgCAMI2_short_read_pooled_gsa	1855361	Candidatus Kryptonia	phylum	0.0		13688	0	0	0.0		57	0	0	True
rhimgCAMI2_short_read_pooled_gsa	200918	Thermotogae	phylum	0.0		120813	0	0	0.0		515	0	0	True
rhimgCAMI2_short_read_pooled_gsa	200940	Thermodesulfobacteria	phylum	0.0		24823	0	0	0.0		104	0	0	True
rhimgCAMI2_short_read_pooled_gsa	51967	Candidatus Korarchaeota	phylum	0.0		8253	0	0	0.0		36	0	0	True
rhimgCAMI2_short_read_pooled_gsa	1930617	Calditrichaeota	phylum	0.0		4396	0	0	0.0		20	0	0	True
rhimgCAMI2_short_read_pooled_gsa	1936987	Balneolaeota	phylum	0.0		46807	0	0	0.0		175	0	0	True
rhimgCAMI2_short_read_pooled_gsa	256845	Lentisphaerae	phylum	0.0		11726	0	0	0.0		46	0	0	True
rhimgCAMI2_short_read_pooled_gsa	1134404	Ignavibacteriae	phylum	0.0		8135	0	0	0.0		34	0	0	True
rhimgCAMI2_short_read_pooled_gsa	640293	candidate division NC10	phylum	0.0		2781	0	0	0.0		12	0	0	True
rhimgCAMI2_short_read_pooled_gsa	2138240	Coprothermobacterota	phylum	0.0		5553	0	0	0.0		24	0	0	True
rhimgCAMI2_short_read_pooled_gsa	2109258	Abditibacteriota	phylum	0.0		2691	0	0	0.0		13	0	0	True
rhimgCAMI2_short_read_pooled_gsa	68297	Dictyoglomi	phylum	0.0		5326	0	0	0.0		23	0	0	True
rhimgCAMI2_short_read_pooled_gsa	134625	Kiritimatiellaeota	phylum	0.0		2467	0	0	0.0		11	0	0	True
rhimgCAMI2_short_read_pooled_gsa	2498705	Candidatus Cryosericota	phylum	0.0		1940	0	0	0.0		8	0	0	True
rhimgCAMI2_short_read_pooled_gsa	456828	Candidatus Cloacimonetes	phylum	0.0		4471	0	0	0.0		18	0	0	True
rhimgCAMI2_short_read_pooled_gsa	1801631	Candidatus Micrarchaeota	phylum	0.0		1032	0	0	0.0		5	0	0	True
rhimgCAMI2_short_read_pooled_gsa	1293497	Nitrospinae	phylum	0.0		1672	0	0	0.0		7	0	0	True
rhimgCAMI2_short_read_pooled_gsa	67814	Caldiserica	phylum	0.0		2599	0	0	0.0		11	0	0	True
rhimgCAMI2_short_read_pooled_gsa	200643	Bacteroidia	class	0.15919431214261268	1.0	2392887	380934	380934	0.15302999387880026	1.0	9802	1500	1500	False
rhimgCAMI2_short_read_pooled_gsa	29547	Epsilonproteobacteria	class	0.17317227333380153	1.0	996730	172606	172606	0.17631058358061324	1.0	4044	713	713	False
rhimgCAMI2_short_read_pooled_gsa	183924	Thermoprotei	class	0.6137806566957982	1.0	295327	181266	181266	0.6028428093645485	1.0	1196	721	721	True
rhimgCAMI2_short_read_pooled_gsa	183963	Halobacteria	class	0.20513804381589285	1.0	711477	145951	145951	0.20404604115800487	1.0	2867	585	585	True
rhimgCAMI2_short_read_pooled_gsa	203494	Verrucomicrobiae	class	0.8585334958587848	1.0	879452	755039	755039	0.8545765611633875	1.0	3507	2997	2997	True
rhimgCAMI2_short_read_pooled_gsa	307596	Gloeobacteria	class	0.9738013117720231	1.0	353720	344453	344453	0.9727463312368972	1.0	1431	1392	1392	True
rhimgCAMI2_short_read_pooled_gsa	204432	Acidobacteriia	class	0.952729270827279	1.0	2425941	2311265	2311265	0.9448891982828634	1.0	8619	8144	8144	False
rhimgCAMI2_short_read_pooled_gsa	388447	Ktedonobacteria	class	0.8976925785277771	1.0	795260	713899	713899	0.9001229256299939	1.0	3254	2929	2929	True
rhimgCAMI2_short_read_pooled_gsa	224756	Methanomicrobia	class	0.6696201318761681	1.0	907973	607997	607997	0.69800820152314	1.0	3414	2383	2383	True
rhimgCAMI2_short_read_pooled_gsa	1497346	Thermoleophilia	class	0.9946452334524735	1.0	5277541	5249281	5249281	0.9904678687743268	1.0	12589	12469	12469	False
rhimgCAMI2_short_read_pooled_gsa	1077257	Chthonomonadetes	class	0.9825765178533485	1.0	305909	300579	300579	0.9813915857605178	1.0	1236	1213	1213	True
rhimgCAMI2_short_read_pooled_gsa	909932	Negativicutes	class	0.4945796741636275	1.0	778182	384873	384873	0.4842668344870988	1.0	3178	1539	1539	True
rhimgCAMI2_short_read_pooled_gsa	1737404	Tissierellia	class	0.4988300143945751	1.0	439749	219360	219360	0.48891352549889133	1.0	1804	882	882	True
rhimgCAMI2_short_read_pooled_gsa	183968	Thermococci	class	0.5651112472292852	1.0	226927	128239	128239	0.558288770053476	1.0	935	522	522	True
rhimgCAMI2_short_read_pooled_gsa	768503	Cytophagia	class	0.9131175385661656	1.0	14398372	13147406	13147406	0.6672709614762059	1.0	15445	10306	10306	False
rhimgCAMI2_short_read_pooled_gsa	649775	Synergistia	class	0.9369547667326369	0.9997839202060537	740738	694038	694188	0.9202106115836372	0.9995600527936648	2469	2272	2273	True
rhimgCAMI2_short_read_pooled_gsa	1853228	Chitinophagia	class	0.8741391075465894	0.9996578730715315	3676853	3214081	3215181	0.8487495037713378	0.9995324918186068	12595	10690	10695	False
rhimgCAMI2_short_read_pooled_gsa	219685	Gemmatimonadetes	class	0.9876983566730688	0.9996027962425603	1126191	1112337	1112779	0.9889582333173308	0.9995147986414362	4166	4120	4122	False
rhimgCAMI2_short_read_pooled_gsa	134549	Spartobacteria	class	0.9806640836674976	0.9995857423566012	738160	723887	724187	0.9801547258661285	0.9993141289437586	2973	2914	2916	True
rhimgCAMI2_short_read_pooled_gsa	117747	Sphingobacteriia	class	0.9031236222369733	0.9986950658563168	7482691	6757795	6766625	0.7959321575782148	0.9982203389830508	14799	11779	11800	False
rhimgCAMI2_short_read_pooled_gsa	188787	Deinococci	class	0.9684726171660312	0.9981715770584149	7323475	7092585	7105577	0.9586088990866963	0.9985003983316931	22227	21307	21339	False
rhimgCAMI2_short_read_pooled_gsa	204429	Chlamydiia	class	0.30028296332871224	0.9956551854417228	579227	173932	174691	0.6059782608695652	0.9955357142857143	1104	669	672	True
