Sample	Tool	accuracy_bp	accuracy_bp (unfiltered)	accuracy_seq	accuracy_seq (unfiltered)	adjusted_rand_index_bp	adjusted_rand_index_bp (unfiltered)	adjusted_rand_index_seq	adjusted_rand_index_seq (unfiltered)	binning type	f1_score_bp	f1_score_bp (unfiltered)	f1_score_bp_cami1	f1_score_bp_cami1 (unfiltered)	f1_score_per_bp	f1_score_per_bp (unfiltered)	f1_score_per_seq	f1_score_per_seq (unfiltered)	f1_score_seq	f1_score_seq (unfiltered)	f1_score_seq_cami1	f1_score_seq_cami1 (unfiltered)	misclassification_bp	misclassification_bp (unfiltered)	misclassification_seq	misclassification_seq (unfiltered)	percentage_of_assigned_bps	percentage_of_assigned_bps (unfiltered)	percentage_of_assigned_seqs	percentage_of_assigned_seqs (unfiltered)	precision_avg_bp	precision_avg_bp (unfiltered)	precision_avg_bp_sem	precision_avg_bp_sem (unfiltered)	precision_avg_bp_var	precision_avg_bp_var (unfiltered)	precision_avg_seq	precision_avg_seq (unfiltered)	precision_avg_seq_sem	precision_avg_seq_sem (unfiltered)	precision_weighted_bp	precision_weighted_bp (unfiltered)	precision_weighted_seq	precision_weighted_seq (unfiltered)	rand_index_bp	rand_index_bp (unfiltered)	rand_index_seq	rand_index_seq (unfiltered)	rank	recall_avg_bp	recall_avg_bp (unfiltered)	recall_avg_bp_cami1	recall_avg_bp_cami1 (unfiltered)	recall_avg_bp_sem	recall_avg_bp_sem (unfiltered)	recall_avg_bp_sem_cami1	recall_avg_bp_sem_cami1 (unfiltered)	recall_avg_bp_var	recall_avg_bp_var (unfiltered)	recall_avg_bp_var_cami1	recall_avg_bp_var_cami1 (unfiltered)	recall_avg_seq	recall_avg_seq (unfiltered)	recall_avg_seq_cami1	recall_avg_seq_cami1 (unfiltered)	recall_avg_seq_sem	recall_avg_seq_sem (unfiltered)	recall_avg_seq_sem_cami1	recall_avg_seq_sem_cami1 (unfiltered)	recall_weighted_bp	recall_weighted_bp (unfiltered)	recall_weighted_seq	recall_weighted_seq (unfiltered)	unifrac_bp	unifrac_bp (unfiltered)	unifrac_seq	unifrac_seq (unfiltered)
strmgCAMI2_short_read_pooled_gold_standard_assembly	Gold standard	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	taxonomic	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0			0.0	0.0	1.0	1.0			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	superkingdom	1.0	1.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
strmgCAMI2_short_read_pooled_gold_standard_assembly	Gold standard	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	taxonomic	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	phylum	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
strmgCAMI2_short_read_pooled_gold_standard_assembly	Gold standard	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	taxonomic	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	class	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
strmgCAMI2_short_read_pooled_gold_standard_assembly	Gold standard	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	taxonomic	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	order	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
strmgCAMI2_short_read_pooled_gold_standard_assembly	Gold standard	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	taxonomic	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	family	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
strmgCAMI2_short_read_pooled_gold_standard_assembly	Gold standard	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	taxonomic	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	genus	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
strmgCAMI2_short_read_pooled_gold_standard_assembly	Gold standard	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	taxonomic	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	species	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
strmgCAMI2_short_read_pooled_gold_standard_assembly	krepp-minLCA-dup v0.4.2	0.9995136242257238	0.9995136242257238	0.9984144511452759	0.9984144511452759	0.0	0.0	0.0	0.0	taxonomic	0.9997567529581277	0.9997567529581277	0.0	0.0	0.9997567529581277	0.9997567529581277	0.9992065965826982	0.9992065965826982	0.9992065965826982	0.9992065965826982	0.0	0.0	0.0	0.0	0.0	0.0	0.9995136242257238	0.9995136242257238	0.9984144511452759	0.9984144511452759	1.0	1.0			0.0	0.0	1.0	1.0			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	superkingdom	0.9995136242257238	0.9995136242257238	0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.9984144511452759	0.9984144511452759	0.0	0.0			0.0	0.0	0.9995136242257238	0.9995136242257238	0.9984144511452759	0.9984144511452759	0.09924355546501165	0.08969232813401198	0.3914200896349997	0.38353647224566817
strmgCAMI2_short_read_pooled_gold_standard_assembly	krepp-minLCA-dup v0.4.2	0.9920177407681712	0.9937699774736185	0.96619383334749	0.9664486536991421	0.9918075929894088	0.9917283136730459	0.9835868565037583	0.9828300522532254	taxonomic	0.7454960479526439	0.8811803435364717	0.0	0.0	0.9949507705746726	0.9957988207116841	0.9807584532038109	0.9806788961831842	0.73532151950921	0.7989066078069312	0.0	0.0	0.0020988044174837794	0.002164035083914162	0.004231105923548251	0.004665539161369359	0.9941041709936917	0.9959251945355475	0.9702992723463292	0.9709787932840681	0.9988342841847543	0.7921245544576614	0.0010768333377152255	0.19814608373155795	0.0	0.0	0.9956157904943138	0.6873694742965883	0.002658360861603168	0.20173136062172312	0.9979011955825162	0.9978359649160858	0.9957688940764517	0.9953344608386306	0.9959074793069427	0.9958670137676556	0.9917934815710744	0.9914151300623544	phylum	0.5946680663231981	0.9927970369222054	0.0	0.0	0.24278284052241153	0.0033805389208841456	0.0	0.0	0.0	0.0	0.0	0.0	0.5829220884266639	0.95365261053333	0.0	0.0	0.2379956677404569	0.01829470969728765	0.0	0.0	0.9920177407681712	0.9937699774736185	0.96619383334749	0.9664486536991421	0.09924355546501165	0.08969232813401198	0.3914200896349997	0.38353647224566817
strmgCAMI2_short_read_pooled_gold_standard_assembly	krepp-minLCA-dup v0.4.2	0.9904074922804392	0.9932425134277733	0.9588606698943911	0.9622582745830855	0.9918049008966731	0.9915470527788077	0.9841438416920101	0.9824484804399481	taxonomic	0.39757145542446815	0.5577693540129917	0.0	0.0	0.9941352482465016	0.9954848062604855	0.9770212765957447	0.9782395947268435	0.3880817033856559	0.5186429342492155	0.0	0.0	0.0021088282594509122	0.0022627538310635575	0.004116920543433489	0.005239279964876387	0.9925005053937329	0.9954950737196373	0.9628245420312014	0.9673263682437215	0.9988273840092979	0.4141672594968457	0.0010740378520745209	0.1477630646629445	0.0	0.0	0.9956527094643443	0.3703212233430975	0.0027392824214645755	0.13745564807563307	0.9978911717405491	0.9977372461689364	0.9958830794565665	0.9947607200351236	0.9959063277745654	0.9957761120895516	0.9920719423282102	0.9912251547288204	class	0.2481778627730238	0.8538046825036227	0.0	0.0	0.1296083375505896	0.1402046124825535	0.0	0.0	0.0	0.0	0.0	0.0	0.2410110302906725	0.8651572419283833	0.0	0.0	0.1258663292390683	0.08382269866746397	0.0	0.0	0.9904074922804392	0.9932425134277733	0.9588606698943911	0.9622582745830855	0.09924355546501165	0.08969232813401198	0.3914200896349997	0.38353647224566817
strmgCAMI2_short_read_pooled_gold_standard_assembly	krepp-minLCA-dup v0.4.2	0.9894320480455336	0.9922670691928678	0.9475919476768878	0.9509895523655822	0.9922123522619691	0.9918905740738302	0.9859796828299885	0.9835871394026223	taxonomic	0.26504693226253284	0.3642490438595656	0.0	0.0	0.99363491881356	0.9949691215088903	0.971100278551532	0.9720859561536792	0.2506533961842671	0.3611021734735482	0.0	0.0	0.002126352522403119	0.00231407002143591	0.004195304829063606	0.00586041555673944	0.9915404125027234	0.9945685705061383	0.9515841331861038	0.9565956001019281	0.9990319237928154	0.22984192764394668	0.0007826861897301029	0.08392937317093507	0.0	0.0	0.9939609965269769	0.22850236066970214	0.002602022977906585	0.08344517462755101	0.9978736474775969	0.9976859299785641	0.9958046951709364	0.9941395844432606	0.996108743065351	0.9959492902554746	0.9929986073019499	0.9918095457413353	order	0.15279155344208256	0.8772449081226624	0.0	0.0	0.07166628140246768	0.11685243096863364	0.0	0.0	0.0	0.0	0.0	0.0	0.14340885451052296	0.8603806772379072	0.0	0.0	0.06735278520570505	0.06748680019306443	0.0	0.0	0.9894320480455336	0.9922670691928678	0.9475919476768878	0.9509895523655822	0.09924355546501165	0.08969232813401198	0.3914200896349997	0.38353647224566817
strmgCAMI2_short_read_pooled_gold_standard_assembly	krepp-minLCA-dup v0.4.2	0.9865024797703237	0.9932383658821746	0.9443764062544502	0.9452878015436758	0.9943541658062328	0.9938568760696017	0.9935100837256315	0.990422817105969	taxonomic	0.2844327478985103	0.35615347673642883	0.0	0.0	0.9917915188991672	0.9949162645643238	0.9693054256314313	0.9682030338389732	0.2677951887359533	0.346552311270082	0.0	0.0	0.0028624229101874565	0.0034001581407128167	0.004413751688935541	0.00774313133427007	0.9893343731458524	0.9966270554781131	0.9485631283643303	0.9526644071658454	0.9893650106562982	0.2176964652340021	0.006404337968803834	0.06491346365790457	0.0	0.0	0.9691792824945201	0.2142501214015034	0.025727651166306143	0.06401663265875265	0.9971375770898125	0.9965998418592872	0.9955862483110645	0.9922568686657299	0.9971911453843665	0.9969500120828574	0.9969085631266038	0.9954490112564603	family	0.16609116538832663	0.9784690493824727	0.0	0.0	0.057907801915480964	0.009739777886606871	0.0	0.0	0.0	0.0	0.0	0.0	0.15536168969340305	0.9060494068938788	0.0	0.0	0.0542301361898379	0.015334533204665287	0.0	0.0	0.9865024797703237	0.9932383658821746	0.9443764062544502	0.9452878015436758	0.09924355546501165	0.08969232813401198	0.3914200896349997	0.38353647224566817
strmgCAMI2_short_read_pooled_gold_standard_assembly	krepp-minLCA-dup v0.4.2	0.9785788106149025	0.9802215911788165	0.9037324574499851	0.9057031949835772	0.9825052353165834	0.9756637077969692	0.9860781509704784	0.9804498765259105	taxonomic	0.3135312070554922	0.34555384068333456	0.0	0.0	0.9844762681389644	0.9833127632979735	0.9431745586562583	0.9407313215271532	0.2852934233348459	0.32952633599217696	0.0	0.0	0.009554760669856277	0.013576506610087358	0.013783440320636053	0.02142211898309454	0.9880190966203577	0.9937127387449148	0.9163630934607345	0.9255300089578978	0.9838649677123282	0.21111633294349305	0.006816188820372398	0.05452593131129943	0.0	0.0	0.9466171218112909	0.20379979178436072	0.0266713695383344	0.05286975437075318	0.9904452393301437	0.9864234933899126	0.986216559679364	0.9785778810169055	0.9932242721400327	0.9906128283073865	0.9936993325450648	0.9912195363436516	genus	0.18647842343016116	0.9513977227200862	0.0	0.0	0.05114433553551619	0.026197290707143685	0.0	0.0	0.0	0.0	0.0	0.0	0.1679562057642115	0.8601845157885427	0.0	0.0	0.04618657203978319	0.029030196362847788	0.0	0.0	0.9785788106149025	0.9802215911788165	0.9037324574499851	0.9057031949835772	0.09924355546501165	0.08969232813401198	0.3914200896349997	0.38353647224566817
