sample_id	Taxon ID	Scientific name	Taxonomic rank	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size (seq)	Filtered
strmgCAMI2_short_read_pooled_gold_standard_assembly	2	Bacteria	superkingdom	1.0	0.9995136242257238	1450632837	1450632837	1451338733	1.0	0.9984144511452759	35263	35263	35319	False
strmgCAMI2_short_read_pooled_gold_standard_assembly	1224	Proteobacteria	phylum	0.996680879407056	0.998988160707086	901994946	899001116	899911682	0.990470605483067	0.9657637052390823	13642	13512	13991	False
strmgCAMI2_short_read_pooled_gold_standard_assembly	201174	Actinobacteria	phylum	0.9641199197340441	0.9978478160728314	2637731	2543089	2548574	0.45	0.9	20	9	10	True
strmgCAMI2_short_read_pooled_gold_standard_assembly	976	Bacteroidetes	phylum	0.9998819003365763	0.9894239673678952	32303225	32299410	32644661	0.9970282317979198	0.9824304538799414	673	671	683	False
strmgCAMI2_short_read_pooled_gold_standard_assembly	1239	Firmicutes	phylum	0.9999400728106305	0.9849282035410094	508483717	508453245	516233816	0.9993485342019544	0.966416283014296	19955	19942	20635	False
strmgCAMI2_short_read_pooled_gold_standard_assembly	204428	Chlamydiae	phylum	0.0		5191	0	0	0.0		4	0	0	True
strmgCAMI2_short_read_pooled_gold_standard_assembly	1236	Gammaproteobacteria	class	0.9966794278781885	0.9985500166004068	901600655	898606825	899911682	0.9903874593315587	0.9573297119576871	13524	13394	13991	False
strmgCAMI2_short_read_pooled_gold_standard_assembly	1760	Actinobacteria	class	0.9943900844439509	0.9978478160728314	2557436	2543089	2548574	0.5	0.9	18	9	10	True
strmgCAMI2_short_read_pooled_gold_standard_assembly	91061	Bacilli	class	0.9999209902991342	0.99155336891671	506596020	506555994	510871134	0.9995963876696433	0.9699417437704998	19821	19813	20427	False
strmgCAMI2_short_read_pooled_gold_standard_assembly	200643	Bacteroidia	class	0.9998817338505713	0.988030967759169	32257751	32253936	32644661	0.9969742813918305	0.9648609077598829	661	659	683	False
strmgCAMI2_short_read_pooled_gold_standard_assembly	186801	Clostridia	class	0.9791348774903036	0.29304124316899643	1604975	1571487	5362682	0.9568965517241379	0.5336538461538461	116	111	208	True
strmgCAMI2_short_read_pooled_gold_standard_assembly	84998	Coriobacteriia	class	0.0		80295	0	0	0.0		2	0	0	True
