sample_id	Taxon ID	Scientific name	Taxonomic rank	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size (seq)	Filtered
strmgCAMI2_short_read_pooled_gold_standard_assembly	2	Bacteria	superkingdom	1.0	0.9968858910072236	1446819106	1446819106	1451338733	1.0	0.9935445510914805	35091	35091	35319	False
strmgCAMI2_short_read_pooled_gold_standard_assembly	2759	Eukaryota	superkingdom	0.0		98656	0	0	0.0		17	0	0	True
strmgCAMI2_short_read_pooled_gold_standard_assembly	10239	Viruses	superkingdom	0.0		51652	0	0	0.0		10	0	0	True
strmgCAMI2_short_read_pooled_gold_standard_assembly	2157	Archaea	superkingdom	0.0		5135	0	0	0.0		1	0	0	True
strmgCAMI2_short_read_pooled_gold_standard_assembly	1224	Proteobacteria	phylum	0.9998317689265467	0.9998508664764727	899928871	899777475	899911682	0.9949238578680203	0.9946394110499607	13987	13916	13991	False
strmgCAMI2_short_read_pooled_gold_standard_assembly	1239	Firmicutes	phylum	0.9999616716159456	0.9988292223770169	515649185	515629421	516233816	0.9998047065716239	0.9923915677247395	20482	20478	20635	False
strmgCAMI2_short_read_pooled_gold_standard_assembly	201174	Actinobacteria	phylum	0.9979648978230371	0.9978478160728314	2548275	2543089	2548574	0.6923076923076923	0.9	13	9	10	True
strmgCAMI2_short_read_pooled_gold_standard_assembly	976	Bacteroidetes	phylum	0.997778935993191	0.8693321091617401	28442224	28379052	32644661	0.9927927927927928	0.8067349926793558	555	551	683	False
strmgCAMI2_short_read_pooled_gold_standard_assembly	7711	Chordata	phylum	0.0		98656	0	0	0.0		17	0	0	True
strmgCAMI2_short_read_pooled_gold_standard_assembly	28890	Euryarchaeota	phylum	0.0		5135	0	0	0.0		1	0	0	True
strmgCAMI2_short_read_pooled_gold_standard_assembly	1117	Cyanobacteria	phylum	0.0		2811	0	0	0.0		1	0	0	True
strmgCAMI2_short_read_pooled_gold_standard_assembly	32066	Fusobacteria	phylum	0.0		95957	0	0	0.0		1	0	0	True
strmgCAMI2_short_read_pooled_gold_standard_assembly	1236	Gammaproteobacteria	class	0.999851120588555	0.9998039440941494	899869221	899735249	899911682	0.9951292887328987	0.992995497105282	13961	13893	13991	False
strmgCAMI2_short_read_pooled_gold_standard_assembly	91061	Bacilli	class	0.999745952351212	0.9995640798918186	510778197	510648435	510871134	0.9993113625184457	0.994566015567631	20330	20316	20427	False
strmgCAMI2_short_read_pooled_gold_standard_assembly	1760	Actinobacteria	class	0.9979648978230371	0.9978478160728314	2548275	2543089	2548574	0.6923076923076923	0.9	13	9	10	True
strmgCAMI2_short_read_pooled_gold_standard_assembly	186801	Clostridia	class	0.9995796796238505	0.8993378686261837	4824891	4822863	5362682	0.9930555555555556	0.6875	144	143	208	True
strmgCAMI2_short_read_pooled_gold_standard_assembly	200643	Bacteroidia	class	1.0	0.8642911623435147	28214492	28214492	32644661	1.0	0.7613469985358712	520	520	683	False
strmgCAMI2_short_read_pooled_gold_standard_assembly	117743	Flavobacteriia	class	0.0		227732	0	0	0.0		35	0	0	True
strmgCAMI2_short_read_pooled_gold_standard_assembly	1737404	Tissierellia	class	0.0		22972	0	0	0.0		2	0	0	True
strmgCAMI2_short_read_pooled_gold_standard_assembly	40674	Mammalia	class	0.0		98656	0	0	0.0		17	0	0	True
strmgCAMI2_short_read_pooled_gold_standard_assembly	28216	Betaproteobacteria	class	0.0		4826	0	0	0.0		2	0	0	True
strmgCAMI2_short_read_pooled_gold_standard_assembly	183968	Thermococci	class	0.0		5135	0	0	0.0		1	0	0	True
strmgCAMI2_short_read_pooled_gold_standard_assembly	29547	Epsilonproteobacteria	class	0.0		3962	0	0	0.0		1	0	0	True
strmgCAMI2_short_read_pooled_gold_standard_assembly	526524	Erysipelotrichia	class	0.0		12757	0	0	0.0		2	0	0	True
strmgCAMI2_short_read_pooled_gold_standard_assembly	28211	Alphaproteobacteria	class	0.0		10465	0	0	0.0		1	0	0	True
strmgCAMI2_short_read_pooled_gold_standard_assembly	203490	Fusobacteriia	class	0.0		95957	0	0	0.0		1	0	0	True
strmgCAMI2_short_read_pooled_gold_standard_assembly	186826	Lactobacillales	order	0.9997064298966821	0.9995298988293189	444885220	444754615	444963793	0.9993918199787137	0.9954063604240283	19731	19719	19810	False
strmgCAMI2_short_read_pooled_gold_standard_assembly	91347	Enterobacterales	order	0.9999062277839035	0.9992579316244502	899328218	899243886	899911682	0.9959340739127278	0.9804159817025231	13773	13717	13991	False
strmgCAMI2_short_read_pooled_gold_standard_assembly	1385	Bacillales	order	0.9992415812106561	0.9987944741997709	65877851	65827888	65907341	0.9728353140916808	0.9286871961102107	589	573	617	False
strmgCAMI2_short_read_pooled_gold_standard_assembly	85009	Propionibacteriales	order	1.0	0.9978478160728314	2543089	2543089	2548574	1.0	0.9	9	9	10	True
strmgCAMI2_short_read_pooled_gold_standard_assembly	186802	Clostridiales	order	0.9995796796238505	0.8993378686261837	4824891	4822863	5362682	0.9930555555555556	0.6875	144	143	208	True
strmgCAMI2_short_read_pooled_gold_standard_assembly	171549	Bacteroidales	order	1.0	0.8642911623435147	28214492	28214492	32644661	1.0	0.7613469985358712	520	520	683	False
strmgCAMI2_short_read_pooled_gold_standard_assembly	200644	Flavobacteriales	order	0.0		227732	0	0	0.0		35	0	0	True
strmgCAMI2_short_read_pooled_gold_standard_assembly	72274	Pseudomonadales	order	0.0		31484	0	0	0.0		10	0	0	True
strmgCAMI2_short_read_pooled_gold_standard_assembly	1737405	Tissierellales	order	0.0		22972	0	0	0.0		2	0	0	True
strmgCAMI2_short_read_pooled_gold_standard_assembly	9443	Primates	order	0.0		98656	0	0	0.0		17	0	0	True
strmgCAMI2_short_read_pooled_gold_standard_assembly	28883	Caudovirales	order	0.0		51652	0	0	0.0		10	0	0	True
strmgCAMI2_short_read_pooled_gold_standard_assembly	80840	Burkholderiales	order	0.0		4826	0	0	0.0		2	0	0	True
strmgCAMI2_short_read_pooled_gold_standard_assembly	2258	Thermococcales	order	0.0		5135	0	0	0.0		1	0	0	True
strmgCAMI2_short_read_pooled_gold_standard_assembly	85007	Corynebacteriales	order	0.0		2567	0	0	0.0		2	0	0	True
strmgCAMI2_short_read_pooled_gold_standard_assembly	135613	Chromatiales	order	0.0		2761	0	0	0.0		2	0	0	True
strmgCAMI2_short_read_pooled_gold_standard_assembly	135623	Vibrionales	order	0.0		14193	0	0	0.0		3	0	0	True
strmgCAMI2_short_read_pooled_gold_standard_assembly	1890424	Synechococcales	order	0.0		2811	0	0	0.0		1	0	0	True
strmgCAMI2_short_read_pooled_gold_standard_assembly	85011	Streptomycetales	order	0.0		1136	0	0	0.0		1	0	0	True
strmgCAMI2_short_read_pooled_gold_standard_assembly	213849	Campylobacterales	order	0.0		3962	0	0	0.0		1	0	0	True
strmgCAMI2_short_read_pooled_gold_standard_assembly	135619	Oceanospirillales	order	0.0		3304	0	0	0.0		1	0	0	True
strmgCAMI2_short_read_pooled_gold_standard_assembly	526525	Erysipelotrichales	order	0.0		12757	0	0	0.0		2	0	0	True
strmgCAMI2_short_read_pooled_gold_standard_assembly	204457	Sphingomonadales	order	0.0		10465	0	0	0.0		1	0	0	True
