Group 1,Group 2,Sample size,Permutations,pseudo-F,p-value,q-value
Animal corpus (non-saline),Animal corpus (saline),55,1000,4.848846408358785,0.002997002997002997,0.004270729270729271
Animal corpus (non-saline),Animal distal gut (non-saline),173,1000,4.327263299797557,0.011988011988011988,0.015073162131985663
Animal corpus (non-saline),Animal distal gut (saline),15,1000,3.1705530085270195,0.03696303696303696,0.04329232411424192
Animal corpus (non-saline),Animal proximal gut (non-saline),8,1000,5.7706840361496985,0.016983016983016984,0.020451379606309186
Animal corpus (non-saline),Animal proximal gut (saline),24,1000,2.4955081577640703,0.052947052947052944,0.06035964035964036
Animal corpus (non-saline),Animal secretion (saline),23,1000,9.577084432124948,0.000999000999000999,0.0016115959512185928
Animal corpus (non-saline),Fungus corpus (non-saline),15,1000,6.324352286335004,0.001998001998001998,0.0029201567663106123
Animal corpus (non-saline),Plant corpus (non-saline),31,1000,2.1584563289496277,0.07992007992007992,0.08874242640476407
Animal corpus (non-saline),Plant surface (non-saline),18,1000,6.293162900120793,0.000999000999000999,0.0016115959512185928
Animal corpus (non-saline),Plant surface (saline),26,1000,14.97507431160752,0.000999000999000999,0.0016115959512185928
Animal corpus (non-saline),Sediment (non-saline),48,1000,38.81176238162625,0.000999000999000999,0.0016115959512185928
Animal corpus (non-saline),Sediment (saline),67,1000,20.448067552967814,0.000999000999000999,0.0016115959512185928
Animal corpus (non-saline),Soil (non-saline),165,1000,87.3967755950186,0.000999000999000999,0.0016115959512185928
Animal corpus (non-saline),Soil (saline),25,1000,33.26966692582478,0.001998001998001998,0.0029201567663106123
Animal corpus (non-saline),Subsurface (non-saline),9,1000,2.606421463691684,0.017982017982017984,0.021502972551923603
Animal corpus (non-saline),Surface (saline),7,1000,2.2267957831819976,0.12287712287712288,0.13050924231048455
Animal corpus (non-saline),Water (non-saline),12,1000,3.47142339897637,0.00999000999000999,0.013140705448397757
Animal corpus (non-saline),Water (saline),41,1000,10.759428893121246,0.000999000999000999,0.0016115959512185928
Animal corpus (saline),Animal distal gut (non-saline),222,1000,39.07458689944491,0.000999000999000999,0.0016115959512185928
Animal corpus (saline),Animal distal gut (saline),64,1000,10.611076891833436,0.001998001998001998,0.0029201567663106123
Animal corpus (saline),Animal proximal gut (non-saline),57,1000,6.697813561141855,0.003996003996003996,0.005647245316666804
Animal corpus (saline),Animal proximal gut (saline),73,1000,6.854986938806962,0.001998001998001998,0.0029201567663106123
Animal corpus (saline),Animal secretion (saline),72,1000,22.048410010315894,0.000999000999000999,0.0016115959512185928
Animal corpus (saline),Fungus corpus (non-saline),64,1000,1.3602003007614838,0.22677322677322678,0.23790320109338514
Animal corpus (saline),Plant corpus (non-saline),80,1000,5.30388800923672,0.01098901098901099,0.014235764235764238
Animal corpus (saline),Plant surface (non-saline),67,1000,2.3541731986321497,0.1038961038961039,0.11316072462569278
Animal corpus (saline),Plant surface (saline),75,1000,4.526832768191069,0.011988011988011988,0.015073162131985663
Animal corpus (saline),Sediment (non-saline),97,1000,25.29050212947886,0.000999000999000999,0.0016115959512185928
Animal corpus (saline),Sediment (saline),116,1000,23.480932561876525,0.000999000999000999,0.0016115959512185928
Animal corpus (saline),Soil (non-saline),214,1000,148.48888563936606,0.000999000999000999,0.0016115959512185928
Animal corpus (saline),Soil (saline),74,1000,39.40423664370064,0.000999000999000999,0.0016115959512185928
Animal corpus (saline),Subsurface (non-saline),58,1000,3.0185084212294178,0.053946053946053944,0.06109122665414056
Animal corpus (saline),Surface (saline),56,1000,0.4540055545621744,0.6173826173826173,0.6173826173826173
Animal corpus (saline),Water (non-saline),61,1000,2.3443719610574556,0.1038961038961039,0.11316072462569278
Animal corpus (saline),Water (saline),90,1000,13.744256656400148,0.000999000999000999,0.0016115959512185928
Animal distal gut (non-saline),Animal distal gut (saline),182,1000,2.3504748406817875,0.03896103896103896,0.045015795015795015
Animal distal gut (non-saline),Animal proximal gut (non-saline),175,1000,5.314535600806364,0.002997002997002997,0.004270729270729271
Animal distal gut (non-saline),Animal proximal gut (saline),191,1000,11.008774823157587,0.000999000999000999,0.0016115959512185928
Animal distal gut (non-saline),Animal secretion (saline),190,1000,18.507696628289825,0.000999000999000999,0.0016115959512185928
Animal distal gut (non-saline),Fungus corpus (non-saline),182,1000,8.92087923868973,0.000999000999000999,0.0016115959512185928
Animal distal gut (non-saline),Plant corpus (non-saline),198,1000,16.27952675034136,0.000999000999000999,0.0016115959512185928
Animal distal gut (non-saline),Plant surface (non-saline),185,1000,20.047966236053682,0.000999000999000999,0.0016115959512185928
Animal distal gut (non-saline),Plant surface (saline),193,1000,26.332590380926053,0.000999000999000999,0.0016115959512185928
Animal distal gut (non-saline),Sediment (non-saline),215,1000,109.54270910754664,0.000999000999000999,0.0016115959512185928
Animal distal gut (non-saline),Sediment (saline),234,1000,129.65494167170934,0.000999000999000999,0.0016115959512185928
Animal distal gut (non-saline),Soil (non-saline),332,1000,523.382405631854,0.000999000999000999,0.0016115959512185928
Animal distal gut (non-saline),Soil (saline),192,1000,93.6723140729922,0.000999000999000999,0.0016115959512185928
Animal distal gut (non-saline),Subsurface (non-saline),176,1000,2.4644050690678196,0.03896103896103896,0.045015795015795015
Animal distal gut (non-saline),Surface (saline),174,1000,4.693238059473387,0.013986013986013986,0.017205815766966847
Animal distal gut (non-saline),Water (non-saline),179,1000,10.758990370850794,0.000999000999000999,0.0016115959512185928
Animal distal gut (non-saline),Water (saline),208,1000,47.85672212249956,0.000999000999000999,0.0016115959512185928
Animal distal gut (saline),Animal proximal gut (non-saline),17,1000,5.5946970995653285,0.000999000999000999,0.0016115959512185928
Animal distal gut (saline),Animal proximal gut (saline),33,1000,4.253283400292475,0.015984015984015984,0.019523333809048096
Animal distal gut (saline),Animal secretion (saline),32,1000,14.83430026332445,0.000999000999000999,0.0016115959512185928
Animal distal gut (saline),Fungus corpus (non-saline),24,1000,7.393811828159351,0.002997002997002997,0.004270729270729271
Animal distal gut (saline),Plant corpus (non-saline),40,1000,4.54041577548838,0.00999000999000999,0.013140705448397757
Animal distal gut (saline),Plant surface (non-saline),27,1000,12.566781595913264,0.000999000999000999,0.0016115959512185928
Animal distal gut (saline),Plant surface (saline),35,1000,24.112414904459005,0.000999000999000999,0.0016115959512185928
Animal distal gut (saline),Sediment (non-saline),57,1000,80.12648601166643,0.000999000999000999,0.0016115959512185928
Animal distal gut (saline),Sediment (saline),76,1000,50.550198893120836,0.000999000999000999,0.0016115959512185928
Animal distal gut (saline),Soil (non-saline),174,1000,227.24079317699824,0.000999000999000999,0.0016115959512185928
Animal distal gut (saline),Soil (saline),34,1000,81.6382152125941,0.000999000999000999,0.0016115959512185928
