Sample ID	empo_0	empo_1	empo_2	empo_3	empo_4	empo_x
#q2:types	categorical	categorical	categorical	categorical	categorical
13114.angenent.65.s001	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal proximal gut (non-saline)	Animal proximal gut
13114.angenent.65.s002	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal proximal gut (non-saline)	Animal proximal gut
13114.angenent.65.s005	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal proximal gut (non-saline)	Animal proximal gut
13114.angenent.65.s006	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal proximal gut (non-saline)	Animal proximal gut
13114.angenent.65.s007	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal proximal gut (non-saline)	Animal proximal gut
13114.berry.2.s001	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Sediment (non-saline)	Sediment
13114.berry.2.s002	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Sediment (non-saline)	Sediment
13114.berry.2.s003	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Sediment (non-saline)	Sediment
13114.berry.2.s004	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Sediment (non-saline)	Sediment
13114.berry.2.s005	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Sediment (non-saline)	Sediment
13114.berry.2.s006	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Sediment (non-saline)	Sediment
13114.berry.2.s007	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Sediment (non-saline)	Sediment
13114.berry.2.s008	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Sediment (non-saline)	Sediment
13114.berry.2.s009	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Sediment (non-saline)	Sediment
13114.berry.2.s010	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Sediment (non-saline)	Sediment
13114.berry.2.s011	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Sediment (non-saline)	Sediment
13114.berry.2.s012	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Sediment (non-saline)	Sediment
13114.berry.2.s013	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Sediment (non-saline)	Sediment
13114.berry.2.s014	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Sediment (non-saline)	Sediment
13114.berry.2.s015	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Sediment (non-saline)	Sediment
13114.berry.2.s016	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Sediment (non-saline)	Sediment
13114.berry.2.s017	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Sediment (non-saline)	Sediment
13114.berry.2.s018	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Sediment (non-saline)	Sediment
13114.berry.2.s019	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Sediment (non-saline)	Sediment
13114.berry.2.s020	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Sediment (non-saline)	Sediment
13114.bittleston.68.s001	EMP sample	Host-associated	Host-associated (n-s)	Plant (n-s)	Plant surface (non-saline)	Plant surface
13114.bittleston.68.s002	EMP sample	Host-associated	Host-associated (n-s)	Plant (n-s)	Plant surface (non-saline)	Plant surface
13114.bittleston.68.s003	EMP sample	Host-associated	Host-associated (n-s)	Plant (n-s)	Plant surface (non-saline)	Plant surface
13114.bittleston.68.s004	EMP sample	Host-associated	Host-associated (n-s)	Plant (n-s)	Plant surface (non-saline)	Plant surface
