id bipar error fn
G000821105_4_6 7453 3 .0004
G001750165_9_26 7453 5 .0007
G001420855_8_29 7453 0 0
G900105105_3_30 7453 5 .0007
G000762265_2_32 7453 1 .0001
G000091565_5_81 7453 16 .0021
G001981925_1_37 7453 9 .0012
G000826085_3_50 7453 19 .0025
G001315825_1_14 7453 2 .0003
G001039275_10_66 7453 4 .0005
G000752095_2_93 7453 2 .0003
G000518365_1_63 7453 38 .0051
G001420855_6_4 7453 18 .0024
G000170895_1_31 7453 0 0
G000313385_3_43 7453 8 .0011
G001420855_5_18 7453 3 .0004
G000752095_1_77 7453 3 .0004
G000821105_3_80 7453 3 .0004
G000585375_3_69 7453 8 .0011
G900105065_1_27 7453 7 .0009
G000179615_7_106 7453 5 .0007
G000445425_1_54 7453 6 .0008
G900105065_2_87 7453 4 .0005
G000169395_2_59 7453 9 .0012
G000196455_2_0 7453 8 .0011
G000016565_4_68 7453 4 .0005
G001750165_1_95 7453 4 .0005
G000143985_1_39 7453 5 .0007
G001784565_1_47 7453 1 .0001
G001941945_1_89 7453 1 .0001
G000156595_1_100 7453 0 0
G001819135_1_17 7453 1 .0001
G900110585_1_110 7453 6 .0008
G001544015_1_70 7453 10 .0013
G000023865_1_91 7453 12 .0016
G001039275_7_108 7453 4 .0005
G001574675_4_90 7453 6 .0008
G001766815_1_1 7453 0 0
G000512895_1_82 7453 4 .0005
G000159995_1_71 7453 23 .0031
G001750165_10_79 7453 6 .0008
G000091565_3_45 7453 12 .0016
G000702485_3_36 7453 2 .0003
G001263205_3_12 7453 2 .0003
G000297775_4_8 7453 3 .0004
G000585375_1_56 7453 13 .0017
G001543345_3_22 7453 0 0
G000332275_2_3 7453 3 .0004
G000301055_1_119 7453 9 .0012
G001796355_1_98 7453 7 .0009
G000758845_1_65 7453 11 .0015
G000017545_2_20 7453 1 .0001
G000585155_3_62 7453 1 .0001
G000016565_4_38 7453 7 .0009
G000170795_3_51 7453 0 0
G000702485_4_34 7453 2 .0003
G000238915_1_9 7453 4 .0005
G001558935_7_117 7453 7 .0009
G900120165_2_52 7453 4 .0005
G000752095_2_53 7453 2 .0003
G000701545_1_96 7453 10 .0013
G001039275_3_55 7453 3 .0004
G001677115_3_61 7453 10 .0013
G000208405_4_97 7453 2 .0003
G001558935_6_2 7453 9 .0012
G000585375_2_120 7453 8 .0011
G001543345_8_76 7453 0 0
G000369145_1_21 7453 4 .0005
G001867005_2_48 7453 8 .0011
G001004055_1_5 7453 1 .0001
G000516515_3_42 7453 0 0
G000931935_1_113 7453 1 .0001
G001399795_1_40 7453 0 0
G000934685_3_83 7453 4 .0005
G900105065_2_75 7453 14 .0019
G000752095_7_46 7453 12 .0016
G001484965_1_99 7453 1 .0001
G000023925_2_41 7453 5 .0007
G000025885_1_122 7453 4 .0005
G001039275_10_67 7453 4 .0005
G000017865_1_28 7453 3 .0004
G000775285_1_58 7453 3 .0004
