SequenceName	ClusterNumber
G001873755	-1
G003660555	-1
G012797855	1
G001587675	1
G001587605	2
G001587595	2
G001587635	2
G001587655	2
G001587575	2
G001587715	2
G000007185	-1
G011620765	-1
G000021645	3
G000020965	3
G011333985	3
G001873845	-1
G902384455	-1
G009994675	-1
G002785565	4
G001871605	4
G009617975	-1
G001515215	-1
G000215995	-1
G001433455	5
G000151105	5
G000517445	5
G002009975	5
G000725425	5
G000966265	-1
G002153915	-1
G009889635	-1
G001508835	6
G001443005	6
G000378005	7
G000020945	7
G002839445	-1
G001784175	-1
G001723845	-1
G001742785	-1
G000402355	-1
G000830275	-1
G002254415	-1
G001515205	-1
G009619155	8
G005222995	8
G000275605	9
G000007305	9
G000211475	10
G000195935	10
G000011105	10
G900012635	11
G001577775	11
G000263735	11
G001508175	12
G001508065	12
G000022545	12
G001317345	12
G001507935	13
G000430485	13
G001484685	13
G000246985	13
G002505645	14
G001940755	14
G001940665	-1
G002011075	-1
G002011125	-1
G006538205	-1
G011042535	-1
G003009755	-1
G001914405	-1
G003034855	-1
G002011165	15
G002011155	15
G001773455	-1
G002784665	16
G001872935	16
G000347575	-1
G012837485	-1
G000405645	-1
G003170795	-1
G000745455	-1
G009936215	-1
G002068715	-1
G002770975	-1
G011049075	-1
G002292025	-1
G004365575	-1
G902542965	-1
G001723835	-1
G001723855	-1
G002254565	-1
G003663115	17
G003663045	17
G013330615	-1
G002505145	18
G001896515	18
G002505525	-1
G000258515	-1
G001592435	19
G000009965	19
G012027595	19
G000151205	20
G000022365	20
G000585495	20
G000816105	20
G000769655	20
G001647085	21
G000018365	21
G001940645	-1
G001940655	-1
G004524535	-1
G003662805	-1
G004028775	22
G001717015	22
G000019605	-1
G000091665	23
G000025525	23
G000739065	23
G000023985	23
G000024625	23
G000371805	23
G000363885	23
G000092305	23
G000166095	-1
G013329495	-1
G003551675	-1
G001767315	24
G001305655	24
G002010305	-1
G004212075	-1
G902158745	-1
G003694175	-1
G002793355	-1
G002084955	-1
G002784285	-1
G001508935	-1
G900129645	25
G000266925	25
G900107215	25
G000160455	25
G003650285	-1
G003538775	-1
G001872985	-1
G003327425	-1
G005883865	-1
G011388395	-1
G001304495	-1
G001513185	-1
G004340685	-1
G001513125	-1
G001902575	26
G001612575	26
G000024565	26
G001559795	26
G000024405	-1
G007990545	27
G000373345	27
G000373045	27
G000023905	27
G000516535	27
G000176335	27
G001274535	27
G000426625	28
G000165505	28
G001774505	-1
G003136635	-1
G001547735	-1
G003648735	-1
G011362975	-1
G902386555	-1
G001871535	-1
G002897655	-1
G011045925	-1
G001484195	29
G000221185	29
G000265525	29
G002214485	29
G002214525	30
G002214365	30
G900109425	30
G001418715	30
G001940725	-1
G002728275	-1
G003345595	-1
G001593865	-1
G011364325	-1
G000270325	-1
G000405685	-1
G001830115	-1
G011333845	-1
G011358735	-1
G011329225	-1
G001717035	31
G001717005	31
G001717025	31
G003019615	-1
G000243455	32
G000214415	32
G009758405	-1
G001856825	-1
G001875425	-1
G003649945	-1
G003663595	-1
G011039765	-1
G011363025	-1
G007833275	33
G000474235	33
G001488575	34
G000230955	34
G000069025	34
G001593955	35
G000196895	35
G006864335	-1
G000025285	-1
G003838185	36
G001508455	36
G001766825	37
G001766815	37
G003163455	-1
G001567305	-1
G001567355	-1
G003554185	-1
G002771355	-1
G002791975	-1
G009694835	-1
G007376505	-1
G002792135	-1
G001509095	38
G001508975	38
G000284335	-1
G001027025	39
G000023325	39
G001021165	40
G000255135	40
G003864455	-1
G902558105	-1
G001771695	41
G001771415	41
G000484535	42
G000011385	42
G011057335	-1
G010028905	-1
G902812325	-1
G012512505	-1
G000092425	-1
G000009905	-1
G001517865	-1
G011332585	-1
G000266885	-1
G003599815	-1
G011047345	-1
G000266945	-1
G001896555	-1
G011773515	43
G003696505	43
G008534395	44
G004195025	44
G003230795	-1
G001799195	-1
G001871695	-1
G000469585	45
G000177635	45
G001871475	-1
G001871415	-1
G002688355	-1
G002762705	-1
G003561825	-1
G011331795	-1
G001775955	-1
G011358085	-1
G001768965	-1
G003601775	-1
G001775995	-1
G002011035	46
G002009985	46
G000375685	47
G000371945	47
G012840205	48
G001507955	48
G000828575	49
G000008645	49
G000145295	49
G900095815	49
G002011395	-1
G000327505	50
G000025665	50
G012963685	-1
G002497685	51
G001875345	51
G902531985	51
G002720095	52
G002698725	52
G003202575	-1
G000349645	-1
G009791395	53
G003862495	53
G000710615	54
G000376445	54
G005239435	55
G004765805	55
G004765795	55
G008831545	55
G000496195	-1
G001508815	56
G001508745	56
G000734035	56
G000008665	56
G002507545	56
G002010295	56
G002010285	56
G001940805	-1
G003315675	57
G000015765	57
G000430905	57
G011049045	-1
G002794015	-1
G002774235	-1
G002791435	58
G001871995	58
G001772215	59
G000991025	59
G001771165	59
G000990575	59
G002774385	-1
G002783265	-1
